gvkey,lpermno,lpermco,liid,linktype,linkprim,linkdt,linkenddt,cik,conm,identity_status,readable_language_filings_in_interval,first_archived_filing,last_archived_filing,cover_name_contexts,explicit_cik_review_count,audit_status
062374,83143,14330.0,1,LU,P,1996-02-01,,1020569,IRON MOUNTAIN INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,60,2010-02-26,2024-11-06,42,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
003707,83186,31782.0,1,LC,C,1995-11-01,2018-04-30,714603,DST SYSTEMS INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,33,2010-02-26,2018-02-28,33,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
062730,83405,14567.0,1,LC,P,1996-04-30,2016-09-26,1010552,POLYCOM INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,27,2010-02-19,2016-08-04,27,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
062655,83421,14527.0,1,LC,P,1996-04-17,2021-06-03,931336,DEAN FOODS CO,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,41,2010-02-25,2020-03-20,38,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
062897,83462,31647.0,1,LU,P,1996-05-31,2025-06-12,1008654,TUPPERWARE BRANDS CORP,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,56,2010-02-23,2024-03-29,46,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
062826,83541,14603.0,1,LU,P,1996-05-09,2013-10-31,1012140,ONYX PHARMACEUTICALS INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,15,2010-02-23,2013-08-09,15,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
063080,83621,14744.0,1,LU,P,1996-06-20,2025-07-31,1013462,ANSYS INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,60,2010-02-25,2024-11-06,59,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
062984,83699,14691.0,1,LC,P,1996-06-05,2013-01-07,1011657,TITANIUM METALS CORP,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,12,2010-03-01,2012-11-09,12,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
063447,83822,31710.0,1,LU,P,1996-08-08,,912463,GUESS INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,60,2010-03-31,2024-12-06,38,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
063527,83906,14927.0,1,LU,P,1996-08-23,2024-11-29,861878,STERICYCLE INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,60,2010-02-26,2024-11-01,44,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
063643,83976,22200.0,1,LU,P,1996-09-26,,1018840,ABERCROMBIE & FITCH  -CL A,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,60,2010-03-29,2024-12-06,60,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
063800,84020,31758.0,1,LC,P,1996-11-04,2010-02-25,1595262,IMS HEALTH HOLDINGS INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,0,,,0,0,NO_READABLE_LANGUAGE_EVIDENCE
063919,84168,31798.0,1,LC,P,1996-11-01,2016-12-05,1018003,INGRAM MICRO INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,28,2010-03-02,2016-10-27,28,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
064030,84262,15171.0,1,LU,P,1996-11-22,,1022671,STEEL DYNAMICS INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,60,2010-02-22,2024-11-08,55,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
063927,84275,15108.0,1,LU,P,1996-11-01,,1020859,UNITED NATURAL FOODS INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,60,2010-03-11,2024-12-10,41,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
162909,84553,15327.0,1,LC,P,2007-01-12,2015-03-02,1023734,BPZ RESOURCES INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,20,2010-03-31,2014-11-07,20,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
029942,84584,31929.0,1,LC,P,1997-02-14,2013-01-31,1029506,RALCORP HOLDINGS INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,12,2010-02-04,2012-11-29,12,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
064480,84624,15384.0,1,LC,P,1997-03-13,2020-06-30,1675820,TIVO CORP,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,15,2016-11-03,2020-05-06,10,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
064690,84656,31946.0,1,LC,P,1997-04-28,,1034670,AUTOLIV INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,60,2010-02-19,2024-10-18,56,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
