gvkey,lpermno,lpermco,liid,linktype,linkprim,linkdt,linkenddt,cik,conm,identity_status,readable_language_filings_in_interval,first_archived_filing,last_archived_filing,cover_name_contexts,explicit_cik_review_count,audit_status
028762,88568,38463.0,1,LC,P,2000-08-02,2025-09-30,877422,SPARTANNASH CO,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,59,2010-02-04,2024-11-07,50,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
004094,88590,39133.0,1,LC,P,2000-10-03,2019-02-28,1799208,DUN & BRADSTREET HOLDNGS INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,0,,,0,0,NO_READABLE_LANGUAGE_EVIDENCE
062977,88811,40999.0,2,LC,P,2000-11-20,2015-03-31,1009356,SALIX PHARMACEUTICALS LTD,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,21,2010-03-10,2015-03-02,21,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
141384,88860,41154.0,1,LC,P,2001-01-26,,1097149,ALIGN TECHNOLOGY INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,60,2010-02-26,2024-11-05,47,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
140897,88868,41160.0,1,LC,P,2001-01-25,2012-10-31,917968,PEET'S COFFEE & TEA INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,11,2010-03-19,2012-08-09,11,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
141913,88873,41168.0,1,LC,P,2001-02-01,,1123360,GLOBAL PAYMENTS INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,60,2010-01-08,2024-10-31,46,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
141982,88906,41266.0,1,LC,P,2001-02-06,2014-12-04,1123647,ATP OIL & GAS CORP,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,10,2010-03-16,2012-05-10,10,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
142382,88922,41365.0,1,LC,P,2001-03-09,2010-03-09,1125057,ENCORE ACQUISITION CO,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,1,2010-02-25,2010-02-25,1,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
004809,88924,41367.0,1,LC,P,2001-03-28,,1128928,FLOWERS FOODS INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,60,2010-03-03,2024-11-08,42,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
143640,88989,41578.0,1,LC,P,2001-05-15,2014-11-28,1135017,KINDER MORGAN MANAGEMENT LLC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,20,2010-02-26,2014-10-28,20,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
140977,88992,41582.0,1,LC,P,2001-05-01,2010-12-05,1126294,RRI ENERGY INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,4,2010-02-25,2010-11-03,4,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
140033,88992,41582.0,5,LC,P,2010-12-06,2012-12-31,1010775,GENON ENERGY INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,0,,,0,0,NO_READABLE_LANGUAGE_EVIDENCE
145977,89217,42402.0,1,LC,P,2001-11-29,,1158449,ADVANCE AUTO PARTS INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,60,2010-03-02,2024-11-14,60,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
146156,89230,42415.0,1,LC,P,2001-11-23,2017-10-02,1145460,ALERE INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,31,2010-03-01,2017-08-03,31,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
145049,89301,42775.0,1,LC,P,2005-10-01,,1326380,GAMESTOP CORP,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,60,2010-03-30,2024-12-10,59,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
010884,89329,22568.0,4,LC,P,2002-03-20,2015-01-30,101063,CHIQUITA BRANDS INTL INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,20,2010-02-26,2014-11-06,20,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
147579,89393,43145.0,1,LC,P,2002-05-23,,1065280,NETFLIX INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,60,2010-02-22,2024-10-18,58,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
147638,89409,43163.0,1,LC,P,2002-05-09,2018-02-28,1168696,REGAL ENTERTAINMENT GROUP,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,32,2010-03-01,2017-11-08,32,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
022221,89485,43452.0,1,LC,P,2002-08-06,2010-11-15,829608,PSYCHIATRIC SOLUTIONS INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,4,2010-02-25,2010-11-09,4,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
150699,89509,43520.0,1,LC,P,2002-10-01,2021-10-29,1168054,CIMAREX ENERGY CO,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,47,2010-02-26,2021-08-06,15,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
138743,89617,38419.0,1,LC,P,2002-12-31,,1101239,EQUINIX INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,60,2010-02-22,2024-10-30,38,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
149268,89636,43802.0,1,LC,P,2002-12-19,2013-05-30,1645676,FREEPORT MCMRN OIL&GAS -REDH,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,0,,,0,0,NO_READABLE_LANGUAGE_EVIDENCE
142945,89727,44027.0,1,LC,P,2003-04-15,2010-07-16,1123871,ARENA RESOURCES INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,2,2010-03-01,2010-05-10,2,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
155394,89866,44497.0,2,LC,P,2003-10-03,,1065696,LKQ CORP,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,60,2010-02-26,2024-10-24,42,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
155393,89901,44613.0,1,LC,P,2003-11-20,2020-08-31,1255474,WHITING PETROLEUM CORP,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,43,2010-03-01,2020-08-07,29,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
155393,89901,44613.0,1,LC,C,2020-09-01,2020-09-01,1255474,WHITING PETROLEUM CORP,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,0,,,0,0,NO_READABLE_LANGUAGE_EVIDENCE
155393,89901,44613.0,5,LC,P,2020-09-02,2022-07-29,1255474,WHITING PETROLEUM CORP,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,7,2020-11-06,2022-05-04,5,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
157153,89952,44705.0,1,LC,P,2003-12-12,,1227654,COMPASS MINERALS INTL INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,59,2010-02-22,2024-12-16,41,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
002940,90011,25268.0,3,LC,P,2004-01-06,2022-01-31,19411,MAGELLAN HEALTH INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,48,2010-02-26,2021-11-05,40,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
157635,90022,44878.0,1,LC,P,2004-02-12,2011-05-31,1140486,ATHEROS COMMUNICATIONS INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,6,2010-02-12,2011-04-29,6,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
014555,90044,9809.0,1,LC,C,2004-02-24,2011-11-04,1651347,ACELITY HOLDINGS INC -REDH,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,0,,,0,0,NO_READABLE_LANGUAGE_EVIDENCE
157415,90052,44911.0,1,LC,P,2004-02-03,2015-05-29,1267097,TRW AUTOMOTIVE HOLDINGS CORP,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,22,2010-02-25,2015-05-05,22,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
158736,90180,45193.0,1,LC,P,2004-05-11,2011-02-17,1279228,ATLAS ENERGY INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,4,2010-02-26,2010-11-09,4,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
264385,90188,45197.0,1,LC,P,2004-05-13,2023-09-29,1142596,NUVASIVE INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,55,2010-02-26,2023-08-02,43,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
160549,90227,45301.0,1,LC,P,2004-06-08,2014-02-28,1570585,LIBERTY GLOBAL LTD,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,3,2013-08-01,2014-02-13,3,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
160272,90275,45416.0,1,LC,P,2004-07-23,2015-01-30,1182129,AUXILIUM PHARMA INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,20,2010-02-26,2014-10-30,20,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
024363,90277,13691.0,1,LC,C,2004-07-23,2011-07-29,740761,BUCYRUS INTERNATIONAL INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,6,2010-03-01,2011-05-10,6,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
160912,90374,45685.0,1,LC,P,2004-10-28,2016-08-22,1297401,DREAMWORKS ANIMATION SKG INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,27,2010-02-24,2016-08-03,27,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
161797,90439,45868.0,1,LC,P,2004-11-11,2011-12-01,1298341,NALCO HOLDING CO,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,8,2010-02-26,2011-11-03,8,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
160913,90444,45871.0,1,LC,P,2004-11-11,,1296445,ORMAT TECHNOLOGIES INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,60,2010-03-08,2024-11-07,38,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
162459,90494,46014.0,1,LC,P,2004-12-10,2021-04-30,1725526,HIGHPOINT RESOURCES CORP,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,12,2018-05-08,2021-02-24,12,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
162254,90520,46091.0,1,LC,P,2005-01-21,,1306830,CELANESE CORP,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,60,2010-02-12,2024-11-12,38,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
160341,90533,46102.0,1,LC,P,2005-01-28,,1288403,W&T OFFSHORE INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,60,2010-03-01,2024-11-08,59,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
162354,90550,46149.0,1,LC,P,2005-02-17,,1308547,DOLBY LABORATORIES INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,60,2010-02-03,2024-11-19,39,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
162401,90558,46156.0,1,LC,P,2005-02-11,,1307954,HUNTSMAN CORP,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,60,2010-02-19,2024-11-05,38,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
158473,90565,46163.0,1,LC,P,2005-02-10,2011-01-12,1169264,SYNIVERSE HOLDINGS INC-OLD,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,4,2010-02-26,2010-11-04,4,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
163720,90725,46850.0,1,LC,P,2005-06-16,2010-07-30,1318310,EV3 INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,2,2010-02-25,2010-05-07,2,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
114484,90733,16283.0,4,LC,P,2005-06-29,2014-03-31,1065049,LEAP WIRELESS INTL INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,17,2010-03-01,2014-03-06,17,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
011721,90756,7765.0,1,LC,P,1985-10-02,,775158,OSHKOSH CORP,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,59,2010-01-28,2024-10-30,38,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
163983,90775,46889.0,1,LC,P,2005-06-28,,1320695,TREEHOUSE FOODS INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,60,2010-02-16,2024-11-12,50,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
163669,90786,46996.0,1,LC,P,2005-07-26,2016-10-31,1317630,ITC HOLDINGS CORP,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,27,2010-02-25,2016-07-28,27,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
164296,90805,47011.0,1,LC,P,2005-07-21,2022-04-08,1437107,WARNER BROS DISCOVERY INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,49,2010-02-22,2022-02-24,38,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
163627,90807,47012.0,1,LC,P,2005-07-21,2016-02-26,1320947,DIAMOND FOODS INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,24,2010-02-25,2015-12-09,24,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
163946,90829,47183.0,1,LC,P,2005-08-11,,1324404,CF INDUSTRIES HOLDINGS INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,60,2010-02-25,2024-10-31,52,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
163948,90831,47184.0,1,LC,P,2005-08-05,2015-06-30,1316656,DRESSER-RAND GROUP INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,22,2010-02-25,2015-05-08,22,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
160549,90866,45301.0,5,LC,P,2014-03-01,,1570585,LIBERTY GLOBAL LTD,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,43,2014-05-06,2024-10-29,11,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
164652,90988,48786.0,1,LC,P,2005-11-22,,1332349,BROOKDALE SENIOR LIVING INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,60,2010-02-26,2024-11-07,48,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
062640,91024,50000.0,7,LC,P,2005-12-08,2021-11-18,1006269,LORAL SPACE & COMMUNICATIONS,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,48,2010-03-15,2021-11-09,18,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
164665,91067,50183.0,1,LC,P,2006-01-19,2010-05-28,1335793,CNX GAS CORP,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,2,2010-02-09,2010-05-04,2,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
165914,91068,50184.0,1,LC,P,2006-01-26,,1058090,CHIPOTLE MEXICAN GRILL INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,60,2010-02-19,2024-10-30,60,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
140033,91071,50187.0,5,LC,P,2006-01-11,2010-12-05,1010775,GENON ENERGY INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,4,2010-02-26,2010-11-05,4,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
165845,91099,50300.0,1,LC,P,2006-02-09,2016-05-31,1328571,NTELOS HOLDINGS CORP,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,26,2010-02-26,2016-05-16,26,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
166061,91100,50301.0,1,LC,P,2006-02-13,2015-07-20,1340282,ROSETTA RESOURCES INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,23,2010-02-26,2015-07-20,23,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
007422,91109,16277.0,4,LC,P,2006-02-09,2017-12-22,316300,EXCO RESOURCES INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,32,2010-02-24,2017-11-07,32,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
148281,91116,50316.0,1,LC,P,2006-03-03,2010-11-10,1022345,MARINER ENERGY INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,4,2010-03-01,2010-11-05,4,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
164543,91195,50606.0,2,LC,P,2006-04-21,,1340041,COMPLETE PRODUCTION SERVICES,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,8,2010-02-19,2011-11-04,8,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
012428,91204,21430.0,4,LC,P,2006-04-10,,784977,PORTLAND GENERAL ELECTRIC CO,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,60,2010-02-25,2024-10-25,60,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
164471,91212,50692.0,1,LC,P,2006-05-18,2010-10-19,1618756,RESTAURANT BRANDS INTL INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,0,,,0,0,NO_READABLE_LANGUAGE_EVIDENCE
032280,91275,41998.0,1,LC,P,2006-05-10,2011-09-25,1507934,STARZ,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,2,2011-06-02,2011-08-11,2,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
116104,91302,50841.0,3,LC,P,2006-06-28,2011-02-28,1051251,J CREW GROUP INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,4,2010-03-19,2010-12-07,0,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
116104,91302,50841.0,3,LC,C,2011-03-01,2011-03-04,1051251,J CREW GROUP INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,0,,,0,0,NO_READABLE_LANGUAGE_EVIDENCE
166639,91350,50856.0,1,LC,P,2006-06-01,2016-05-31,1354513,CTC MEDIA INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,25,2010-03-01,2016-03-31,25,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
174490,91391,50964.0,1,LC,P,2006-07-18,2020-09-30,1282266,WINDSTREAM HOLDINGS INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,43,2010-02-24,2020-07-30,38,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
174729,91392,50965.0,1,LC,P,2006-08-01,,1361658,TRAVEL PLUS LEISURE CO,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,60,2010-02-19,2024-10-23,38,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
008214,91531,51337.0,6,LC,P,2006-11-01,,1370946,OWENS CORNING,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,60,2010-02-17,2024-11-06,42,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
174310,91579,51426.0,1,LC,P,2006-11-16,,1357615,KBR INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,60,2010-02-25,2024-10-23,21,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
011535,91624,21926.0,2,LC,P,2006-12-22,2012-03-30,107681,WINN-DIXIE STORES INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,9,2010-02-16,2012-02-21,9,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
176360,91830,51817.0,1,LC,P,2007-02-08,2010-04-30,1371011,SWITCH & DATA FACILITIES CO,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,2,2010-02-22,2010-04-30,2,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
176928,91849,51962.0,1,LC,P,2007-04-02,,1383312,BROADRIDGE FINANCIAL SOLUTNS,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,60,2010-02-04,2024-11-05,51,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
176760,91854,51966.0,1,LC,P,2007-03-07,2021-11-30,1381531,DOMTAR CORP,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,48,2010-02-26,2021-11-04,38,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
174579,91892,51985.0,1,LC,P,2007-03-08,2008-11-28,,CLEARWIRE CORP-OLD,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,0,,,0,0,NO_READABLE_LANGUAGE_EVIDENCE
181904,91892,51985.0,1,LC,P,2008-12-01,2013-07-31,1442505,CLEARWIRE CORP,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,14,2010-02-24,2013-04-26,10,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
177108,91915,52115.0,1,LC,P,2007-04-24,,1385280,CINEMARK HOLDINGS INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,60,2010-03-10,2024-10-31,39,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
160256,91937,52120.0,1,LC,P,2007-04-19,2013-04-30,,METROPCS COMMUNICATIONS INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,0,,,0,0,NO_READABLE_LANGUAGE_EVIDENCE
017874,91937,52120.0,1,LC,P,2013-05-01,,1283699,T-MOBILE US INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,46,2013-08-08,2024-10-23,28,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
158743,91977,45679.0,1,LC,P,2007-05-23,,1278027,B&G FOODS INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,60,2010-03-01,2024-11-05,52,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
177429,92021,52279.0,1,LC,P,2007-05-11,2016-03-03,1324245,SOLERA HOLDINGS INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,25,2010-02-09,2016-01-29,25,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
177286,92104,52383.0,1,LC,P,2007-06-06,2009-12-31,1391672,STARENT NETWORKS CORP,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,0,,,0,0,NO_READABLE_LANGUAGE_EVIDENCE
177881,92220,52669.0,1,LC,P,2007-08-08,,937556,MASIMO CORP,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,60,2010-02-17,2024-11-06,53,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
164408,92227,52675.0,2,LC,P,2007-08-01,2016-01-29,1331301,BOULDER BRANDS INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,24,2010-03-10,2015-11-05,21,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
177884,92239,52684.0,1,LC,P,2007-08-03,2021-01-29,1358071,CONCHO RESOURCES INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,44,2010-02-26,2020-10-27,38,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
178083,92257,52705.0,1,LC,P,2007-08-14,2023-11-30,1124610,VMWARE INC -CL A,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,55,2010-03-01,2023-09-07,40,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
178507,92402,52840.0,1,LC,P,2007-11-15,,1408198,MSCI INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,60,2010-01-29,2024-10-31,50,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
176899,92421,52847.0,2,LC,P,2007-11-06,2016-01-06,1349436,SANDRIDGE ENERGY INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,24,2010-03-01,2015-11-05,24,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
178767,92454,52872.0,1,LC,P,2007-11-02,2017-02-28,1292653,INTELIQUENT INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,28,2010-02-19,2016-11-07,28,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
063605,92530,31726.0,2,LC,P,2008-02-07,2018-03-29,916457,CALPINE CORP,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,33,2010-02-25,2018-02-16,0,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
179437,92614,52985.0,1,LC,P,2008-04-23,,1410636,AMERICAN WATER WORKS CO INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,60,2010-03-01,2024-10-30,48,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
164046,92619,52991.0,1,LC,P,2008-04-08,,1273441,GRAN TIERRA ENERGY INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,60,2010-02-26,2024-11-04,60,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
179843,92621,52993.0,1,LC,P,2008-04-22,,1421461,INTREPID POTASH INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,60,2010-03-01,2024-11-05,52,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
179925,92765,53068.0,1,LC,P,2008-08-08,2016-11-03,1107694,RACKSPACE HOSTING INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,27,2010-02-26,2016-08-09,27,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
