avoided_loss_pct,foregone_gain_pct,avoided_dd_pct,net_benefit,flag_rate,regime,model
50.208538675937255,4.436581692995527,39.02869822691886,2596.8200082856547,13.082597333862592,Full test 2022-2024,Perfect foresight
51.759053000895506,0.5567193216636247,40.128497683519015,1276.5191711216444,14.752368858063885,2022 (bear),Perfect foresight
48.135059257234744,7.708139181456023,38.32165938118531,672.2145258624074,12.624628466082246,2023 (recovery),Perfect foresight
50.311973494324114,3.7214446001865307,38.10150422316473,648.086311301603,11.776894813295737,2024 (bull),Perfect foresight
12.97633796807683,12.710864351114308,12.957047523021522,-276.1616182286647,13.12758426780457,Full test 2022-2024,Random exit (~13%)
13.26828223497929,13.144089929885318,13.287374665838025,15.398994375561927,13.22262381557097,2022 (bear),Random exit (~13%)
12.291582053602793,12.412790670495049,12.718206400075541,-180.6780697861816,12.889875465593137,2023 (recovery),Random exit (~13%)
13.384369033698926,12.696996732070684,12.711412020477031,-110.88254281804478,13.29359993164146,2024 (bull),Random exit (~13%)
33.554959202858676,38.96824799128406,31.66351792658823,-1213.7886759775683,26.65938936852899,Full test 2022-2024,Gated (ens x5)
22.937360689535506,14.976793790110719,21.28485751815604,212.40251368161654,13.916186382729315,2022 (bear),Gated (ens x5)
37.034111942192865,51.27881778837329,34.6042706498889,-1012.5860038385892,29.276872719063924,2023 (recovery),Gated (ens x5)
46.99734802050812,45.58613690860734,45.042248891648285,-413.6051858205956,37.620695548150046,2024 (bull),Gated (ens x5)
35.943856991714085,41.61531243729501,34.20315541093868,-1289.780777983969,30.298038437365616,Full test 2022-2024,Cross-attn (ens x5)
20.942722469221195,15.089964700297806,19.83329460174568,159.98037124140137,13.607502197909543,2022 (bear),Cross-attn (ens x5)
43.332849097029516,55.46729031162075,40.577451966639586,-1031.8906049508337,35.59953346627036,2023 (recovery),Cross-attn (ens x5)
51.67086880733293,48.59590302008449,49.870331845917924,-417.870544274538,42.527557036657264,2024 (bull),Cross-attn (ens x5)
46.701953744179704,51.09351994070998,44.22845781385342,-1431.9185974592938,43.150408521054544,Full test 2022-2024,XGBoost (ens x5)
35.46920599847424,24.38144064315421,32.345703385874856,299.13807481180515,25.317964247338086,2022 (bear),XGBoost (ens x5)
55.33213224067267,67.63893437760032,53.29041410844054,-1210.0948736548871,51.65167989766357,2023 (recovery),XGBoost (ens x5)
54.389494289278566,54.504410888633814,52.481340474271995,-520.9617986162117,52.994958557634796,2024 (bull),XGBoost (ens x5)
