exclude_pct,calmar,calmar_sd,cagr,max_drawdown,bh_calmar,bh_cagr,split
5,0.7676051906949597,0.025510019536072275,0.3067831136509994,-0.3997191693505385,1.5344986838024572,0.6028198532895088,val
8,0.771844150946394,0.026056330783794247,0.3049605866139641,-0.39510695696741693,1.5344986838024572,0.6028198532895088,val
10,0.7627461503856912,0.055543243824129424,0.29968751069635285,-0.3929457509649648,1.5344986838024572,0.6028198532895088,val
13,0.7569097969736929,0.05840821444683563,0.29557274792651544,-0.39051172400589146,1.5344986838024572,0.6028198532895088,val
15,0.7161496906497371,0.03478682642964205,0.27848032685343943,-0.38881679556589266,1.5344986838024572,0.6028198532895088,val
20,0.6940611300077794,0.024829355679755777,0.2693118153011909,-0.38797768842765057,1.5344986838024572,0.6028198532895088,val
25,0.6659067345032686,0.02802961478647072,0.25821106209502814,-0.38779216391103,1.5344986838024572,0.6028198532895088,val
30,0.6584449598994009,0.038538383853174846,0.2554842931049951,-0.38812390999628316,1.5344986838024572,0.6028198532895088,val
5,0.6504154367986977,0.30382900434458365,0.1409202111605259,-0.21576353484671634,0.945184177235119,0.2004409613584941,test
8,0.4553783411393629,0.07089820808084359,0.09561801736659215,-0.20967410590177069,0.945184177235119,0.2004409613584941,test
10,0.45176626637730627,0.07816912199082947,0.09467049005283448,-0.20943952493629783,0.945184177235119,0.2004409613584941,test
13,0.4267151852396416,0.07547097251921721,0.08976775351693629,-0.21037025848117677,0.945184177235119,0.2004409613584941,test
15,0.42936758689468624,0.09583760794535885,0.0897638047763913,-0.2098003025974097,0.945184177235119,0.2004409613584941,test
20,0.43182370664252334,0.10470751564168625,0.09058805442829235,-0.21067514172507193,0.945184177235119,0.2004409613584941,test
25,0.40500119417410546,0.019739195303775773,0.08632457063263188,-0.21299615127317711,0.945184177235119,0.2004409613584941,test
30,0.41485639588680867,0.04646144452307105,0.08835577695508397,-0.2134246026711401,0.945184177235119,0.2004409613584941,test
