model,avoided_loss_pct,caught_loss_pct,foregone_gain_pct,avoided_dd_pct,net_benefit,flag_rate,mean_ret_flagged,mean_ret_unflagged
Gated (ensemble x5),33.554959202858676,66.44504079714132,38.96824799128406,31.66351792658823,-1213.7886759775683,26.65938936852899,3.0121067969763717,0.9760171667946129
Cross-attention (ensemble x5),35.943856991714085,64.0561430082859,41.61531243729501,34.20315541093868,-1289.780777983969,30.298038437365616,2.816299709552962,0.9548406468979769
