fusion,seed,minutes,n_params,val_roc_auc,val_pr_auc,val_accuracy,val_mcc,val_precision,val_recall,val_f1,test_roc_auc,test_pr_auc,test_accuracy,test_mcc,test_precision,test_recall,test_f1,threshold,gate_t,gate_f,film_gamma,film_beta
concat,42,36.9,217153,0.6309936789416829,0.19796825571892013,0.6711538287329354,0.14423971771537886,0.19314301324955607,0.5109858340560856,0.2803275113498939,0.5836348768493183,0.15917298175096958,0.6639609423065473,0.06145440535242187,0.16210448378737397,0.37666346202499623,0.22666098288776568,0.5086091775778543,,,,
concat,43,32.7,217153,0.6051410514478599,0.1864123269863814,0.6653923851108353,0.11985376764841688,0.18200589158384495,0.47781150621566926,0.26360174644630074,0.6118337935596654,0.17808025861479093,0.6682543777826291,0.10405464618796671,0.1823086574654956,0.4411273592065982,0.25799387419913294,0.4672475750669588,,,,
concat,44,32.8,217153,0.6001633041444518,0.18434528915920798,0.6895886365489315,0.11671654143036386,0.1852274127942808,0.4344463717837525,0.2597217421361908,0.6017565123609396,0.1713691283794797,0.6270797361753362,0.08441287548154466,0.16827358729928596,0.4698173354247837,0.2477949320131837,0.49387476054123014,,,,
concat,45,32.8,217153,0.6313301195744339,0.20386458760994108,0.6558896266838181,0.13678233617106714,0.1871113184079602,0.5218993928881179,0.2754634927901122,0.612787515521386,0.17234861274265206,0.6078353543572746,0.10704069271558184,0.17476255534888316,0.5372160097151242,0.26373053133616514,0.4680315818047045,,,,
concat,46,40.0,217153,0.5943084024209859,0.17150990971666338,0.7175624382864235,0.11658887701267337,0.19140152324008827,0.38869615495808035,0.25649830686316594,0.6165697928895901,0.16991017890058258,0.6971639510191121,0.08402067837831463,0.17767755365019577,0.36279917016647273,0.23853485702879385,0.5359127087417653,,,,
gated_cross_attention,42,38.8,267201,0.618703018203715,0.1895177866673694,0.6741160804065622,0.13820353804276808,0.19131016788443303,0.4958080370049147,0.2760896687728901,0.5877725171118359,0.1657006192734092,0.6080205873208037,0.08209029736836336,0.16533044053087445,0.4935485503213075,0.24768918232605383,0.4926491854980237,0.44464972615242004,0.56788569688797,,
gated_cross_attention,43,60.2,267201,0.609739778442772,0.20219314154362997,0.8111949560191686,0.13401389215654916,0.24344514428006445,0.24024284475281873,0.24183339396144052,0.607820241090888,0.18114233708462865,0.8071658695033772,0.0668376307051419,0.19738199638896053,0.15488539189394324,0.173570355249355,0.6190371315246043,0.5493495464324951,0.5604278445243835,,
gated_cross_attention,44,43.8,267201,0.5965055814336485,0.17004799422192818,0.6108579659205174,0.11867623925456337,0.17311362054643828,0.5573142526741833,0.26417033522328237,0.5885490686362801,0.1670600901543048,0.6355541442567858,0.08070492016396638,0.16768573739958234,0.4509942822445985,0.24447309232541556,0.5017806050340865,0.5138893127441406,0.4729638397693634,,
gated_cross_attention,45,40.4,267201,0.6241336285136933,0.19763487052780426,0.7037385971428313,0.14222046482493403,0.19995547357038357,0.45439433362243425,0.27770661248288353,0.6091830998208541,0.17577599371493502,0.642890692705129,0.10188771509688618,0.1774564512480205,0.4762940849061377,0.2585740382106116,0.48867886540383393,0.49361661076545715,0.5642222166061401,,
gated_cross_attention,46,39.1,267201,0.6317308730524587,0.19618101073575267,0.7078241491452952,0.15421281075631002,0.20638969486337405,0.46783752529632844,0.28642226597933584,0.597299064247256,0.1674608781020052,0.6106403106621416,0.08567817792405485,0.16699320237831575,0.49597733137681527,0.249859801172572,0.5223790488235129,0.44427382946014404,0.4575147330760956,,
static_context,42,48.3,113345,0.6254338774079077,0.18904606027313195,0.7514063901294513,0.138770376800508,0.21317143098068977,0.3654235328129517,0.2692655908824626,0.5880823960833855,0.1707043368448415,0.8037456751410748,0.06794197717316977,0.1965806728353453,0.16232353387643578,0.17781719416883765,0.546892278358577,,,,
static_context,43,40.0,113345,0.6412477608813261,0.19524798924818645,0.7625397458080062,0.14774473046815995,0.22255099753418517,0.35877421220005784,0.2747018621510196,0.6046267882391236,0.17728515405012546,0.8224475889945158,0.06908602785828438,0.20942838370565045,0.12902899357385011,0.15967938883496666,0.5433070270325925,,,,
static_context,44,24.4,113345,0.6056162094144334,0.1878773255261811,0.643895678011396,0.1153330821815247,0.1766109785202864,0.5027464585140214,0.2613956634474465,0.6145073036778386,0.1882627060358283,0.6224224502351797,0.10180592340715763,0.17464248343215905,0.5067044477053079,0.2597564297109062,0.4760055982408715,,,,
static_context,45,34.1,113345,0.6379023532521914,0.19004015320533824,0.7002237541784054,0.15319372451778643,0.20384497077822208,0.4789679098005204,0.285979372545635,0.6017322519069346,0.180495090299542,0.7377895091988013,0.09258447518229396,0.19080810280984534,0.31027677984111723,0.23630057803468207,0.5097411349027053,,,,
static_context,46,32.4,113345,0.6310575452739421,0.2016583289178743,0.7478190761760682,0.1606781773208822,0.22297404241848687,0.4072708875397514,0.28817633220824385,0.6076531217982146,0.17783899765858577,0.7413221664318177,0.0958222719292562,0.19362504356642693,0.3092141881293326,0.2381342062193126,0.5057597838970129,,,,
film,42,35.8,217089,0.6133378293488608,0.18061637741586398,0.6879761570446331,0.13232842715731283,0.1918107315905964,0.46350101185313675,0.2713348847048868,0.6177608569908182,0.18102020161177837,0.6432280813172709,0.10436524016730561,0.1785250559831392,0.48003845570004555,0.2602600680346757,0.4652964256738739,,,0.9468753337860107,0.01304385345429182
film,43,44.1,217089,0.6453115682783584,0.2237531893740089,0.8173006368388155,0.17401088315643573,0.27577903682719546,0.28143972246313964,0.2785806266990986,0.5960635952358374,0.17480876683382401,0.8313652330958382,0.06004363178565627,0.20763576970191916,0.10291959722714163,0.13762305896681215,0.5627771751208847,,,0.7425360083580017,-0.03325304388999939
film,44,62.9,217089,0.6427397524948639,0.21430195278715014,0.7751315801393255,0.17161303890421897,0.2416647072654597,0.3714223764093669,0.2928121705934304,0.6158783982543095,0.1812359425230714,0.7649922929856245,0.08574726173016806,0.1944713682006746,0.25380762030056164,0.2202124857318465,0.5148289896657434,,,0.7344272136688232,0.03996933996677399
film,45,33.6,217089,0.6246121156783131,0.18611489756244026,0.6207864914076584,0.12776973205835485,0.17780690257754478,0.5589043076033535,0.269785615852914,0.6319993578804648,0.18749765523878084,0.5587089262442032,0.12379718369543179,0.17444553864931966,0.636391236148358,0.27382974091008055,0.4497399726898772,,,0.827241063117981,-0.03308834508061409
film,46,45.8,217089,0.6064413104475659,0.16594429255813894,0.6483617027058856,0.12367957150808134,0.18062338592139918,0.5105521827117664,0.26684295023137217,0.6088038619441937,0.17097843580547792,0.6558570001521556,0.08495534738103525,0.17198812332221589,0.4279208622172747,0.2453615724958294,0.4803349590720141,,,0.6246556639671326,0.0035614673979580402
