pipeline,val_roc_auc,val_pr_auc,val_accuracy,val_mcc,val_precision,val_recall,val_f1,test_roc_auc,test_pr_auc,test_accuracy,test_mcc,test_precision,test_recall,test_f1,threshold,minutes
XGBoost,0.7008690184033048,0.2995877820060395,0.7939950320484983,0.24551611805042606,0.3080520442654072,0.43122893440497795,0.35937879810938556,0.6316112238501556,0.19260649624440934,0.7166248794599808,0.10998511082697647,0.19818562456385205,0.370005790387956,0.258116637212825,0.19075555482860598,36.1
tech_only,0.5681733713518992,0.15660845557984723,0.6816349455108752,0.08186768878787236,0.1677063190069241,0.3886238797340272,0.23430214824175347,0.6480999560541516,0.19953393789774576,0.6951197729573104,0.14056114906916461,0.20412292336398175,0.4594444163335526,0.2826635121252685,0.5246090839459345,8.6
fund_only,0.7067639639710692,0.28881579611716873,0.854768138129705,0.2603829155584888,0.3936870642912471,0.2938710610002891,0.33653368647574905,0.5019421748813255,0.13098371393726815,0.7881662598156932,-0.017742934783539867,0.11326350328117113,0.09082629155492587,0.10081154699390638,0.5054716249931617,9.3
multimodal_cross_attn,0.6360612329998572,0.19604864045641957,0.6615604815697216,0.1426547577882369,0.19052254907119928,0.5233448973691819,0.27934879055591993,0.6237604289501502,0.18227114267114758,0.5387699208129081,0.12231837369719469,0.17170270092659526,0.6610332439406973,0.27259828061096736,0.46554942957732987,11.8
