cell,nf,val,test,sd,pr,roc,gap,n
I+II,38,0.16400733994936353,0.1326682886335025,0.002928608395828945,0.1990971351363524,0.6379332113240106,-0.03133905131586103,5
I+II+IV,57,0.12772900858916197,0.1492163822328605,0.004276302418568187,0.21638050508779721,0.6583936399251262,0.021487373643698494,5
I+II+IV-e,48,0.16160220479684873,0.1496714384706213,0.0025417845271769306,0.21355444638116644,0.6567629829627671,-0.011930766326227416,5
I+II+IV-l,48,0.14149667565809526,0.1319769913127107,0.0017156049845339053,0.2034834648610806,0.6429429997163228,-0.009519684345384588,5
IV,19,0.0184816332650027,0.06477987099447671,0.006632353364056657,0.16051546664327054,0.5850907448095983,0.04629823772947402,5
