strategy,total_return,cagr,ann_vol,sharpe,sortino,max_drawdown,calmar,n_days,exclude_pct,turnover,grp
multi_pure_seed43,0.6536177443127873,0.18876603033857342,0.26242680274940006,0.7798889924939322,1.7172020390589704,-0.2229278379530228,0.8467584491549762,733,5,0.18354500043643063,multi_pure
multi_pure_seed44,0.17447487097435577,0.05684612534646383,0.18541943331190888,0.3907450444598426,0.614920113616813,-0.2203127464053877,0.25802467752757163,733,5,0.16876227732288676,multi_pure
multi_pure_seed45,0.23356758132260702,0.07483339067982286,0.18868251582235007,0.476647496053037,0.7580958240552546,-0.2180124317869948,0.3432528597861681,733,5,0.17712107879862218,multi_pure
multi_pure_seed46,0.22722111371617038,0.072929064200979,0.1865507611429667,0.47045461535682365,0.7449900175193594,-0.21977293263050604,0.331838244719568,733,5,0.16766241558405084,multi_pure
multi_pure_seed47,0.1949335993644017,0.06313941444152249,0.18850421658947863,0.41888891360157476,0.6607034557890271,-0.22945708464616557,0.2751687294331603,733,5,0.1809125663855616,multi_pure
multi_pure_seed48,0.6006624743145088,0.17553821951674475,0.2624811605818801,0.7371245844014571,1.6226748057584497,-0.22335279080596349,0.7859235556597214,733,5,0.18632162245180175,multi_pure
multi_pure_seed49,0.5816564002866014,0.1707206745906582,0.26223297871022777,0.721846599625859,1.586001815381537,-0.21908789019292832,0.7792337332762753,733,5,0.1891557270352262,multi_pure
multi_pure_seed50,0.1904686984294861,0.06177203815246268,0.18665850516089594,0.4142965640175282,0.6516395188273328,-0.2215206120847105,0.2788545841000149,733,5,0.17952237430872775,multi_pure
multi_pure_seed51,0.1639736805292349,0.0535878961188998,0.1869512202469985,0.3725366010572298,0.5890495371738732,-0.22716889986001876,0.23589450911599524,733,5,0.17927306771715876,multi_pure
multi_pure_seed52,0.6187714247810927,0.18009356982235358,0.2628891061794422,0.7510795949314166,1.6454105416942073,-0.22456955126393807,0.8019500809826547,733,5,0.18288514475678477,multi_pure
naive_vol,0.21867240216063277,0.07035368779564988,0.19410655146277042,0.44681068185517675,0.7489666863920261,-0.22543230678607742,0.3120834311579465,733,5,0.15721147249782347,naive_vol
multi_pure_seed43,0.2619964698678048,0.08328578435661904,0.18805415182835902,0.5192819539676863,0.8227244907150197,-0.21868301885402014,0.3808516307899321,733,8,0.21328642900168862,multi_pure
