karsilastirma,delta,sd,n,pozitif,p,cohen_d
D(II|I),0.0028283845701544824,0.022979018608941634,11,5,0.691709706704285,0.12308552502994609
D(III|I),-0.04102080325842094,0.028916599250474368,5,0,0.03379091809566491,-1.418590163494001
D(III|I+II),-0.04068828367014767,0.019549309655792,5,0,0.009632884312083452,-2.0813156263087116
D(IV|I+II),0.015481923726860154,0.012802127031967085,11,10,0.002474561324145607,1.2093243324489422
D(IV-olay|I+II),-0.0018743244257718756,0.02274714562550331,5,3,0.8627826467348747,-0.08239822510611829
D(IV-LM|I+II),0.005158346646798359,0.01351929857697049,5,4,0.4416363739269009,0.38155431048659344
gated - ungated,-0.011787844962495062,0.032282679369142565,5,2,0.4600550935388389,-0.3651445664625498
