ablation,year,mcc_mean,mcc_std,pr_auc_mean,roc_auc_mean,base_rate,flag_rate,n_seeds
fund_pure_only,2022,0.010687185694158623,0.019645421340902042,0.16472608517579462,0.5308407971139156,0.14722488131752204,0.007107273331119229,5
fund_pure_only,2023,-0.008706831699821968,0.003239422885752332,0.13173822102745308,0.5209737429175183,0.12627440653098077,0.005782325721379933,5
fund_pure_only,2024,0.022596567583073733,0.02177342745459406,0.13628546184344253,0.5556295429490052,0.11779031017687773,0.0023882765102965055,5
fund_xs_only,2022,0.02658495517293711,0.01270859682176604,0.16237003033122158,0.5269291749711729,0.14722488131752204,0.5227928966339109,5
fund_xs_only,2023,0.02073579873363989,0.017609085996384274,0.13499145700227336,0.5231042751231969,0.12627440653098077,0.5147285655167224,5
fund_xs_only,2024,0.028538888680203583,0.0317725469396096,0.12490575017343705,0.5348969163379562,0.11779031017687773,0.5121421857643339,5
macro_only,2022,-0.008297761465137637,0.03619686140598841,0.17715730218102108,0.5476795577846498,0.14722488131752204,0.035540273897669325,5
macro_only,2023,-0.008811604882283974,0.027005251615157596,0.13449780329479538,0.5308243658905426,0.12627440653098077,0.12574019036153644,5
macro_only,2024,0.02223965273539788,0.02900332434502467,0.1249261133047167,0.540682084792446,0.11779031017687773,0.31133042809536016,5
multi_pure,2022,0.11602261861518119,0.00981932854522335,0.21268110426264109,0.6312442958578857,0.14722488131752204,0.222376775353117,5
multi_pure,2023,0.14925813225801549,0.0170495024064496,0.20648770075127731,0.6607325448656285,0.12627440653098077,0.3522779428915391,5
multi_pure,2024,0.13245340493629748,0.01816955520993109,0.18161232469321092,0.648078428621975,0.11779031017687773,0.3273348714004956,5
multi_xs,2022,0.10709369171133756,0.01156918142965857,0.20726234264626045,0.6201334709063946,0.14722488131752204,0.23499326000742377,5
multi_xs,2023,0.13982471040069766,0.01649520611513831,0.1985858640863344,0.6485019196029562,0.12627440653098077,0.3392799367969602,5
multi_xs,2024,0.13112543741459443,0.007160912012199535,0.17385817439457113,0.6432057829174165,0.11779031017687773,0.3280013671708109,5
