strategy,total_return,cagr,ann_vol,sharpe,sortino,max_drawdown,calmar,n_days,exposure,grp
buy_hold,0.7013003648561591,0.2004409613584941,0.2733940624573054,0.7918551903042745,1.9189150244052944,-0.2120655065818283,0.945184177235119,733,1.0,buy_hold
WL_sampler_seed42,0.461994040091255,0.139480986474666,0.2011623686153772,0.7488185338221421,1.273451645771668,-0.2107236012869448,0.6619144017225346,733,0.9727148703956344,WL_sampler
WL_sampler_seed43,0.4147546183110198,0.1266864182376226,0.20154529980152014,0.6917288722163023,1.1762789514367475,-0.21859795771819782,0.5795407219720619,733,0.9727148703956344,WL_sampler
WL_sampler_seed44,0.695530876429379,0.19903983420982718,0.2962879408585515,0.7431629418105673,1.8444046101620044,-0.21722870151150095,0.9162685815681185,733,0.9727148703956344,WL_sampler
WL_sampler_seed45,0.4066281965355989,0.1244572739264529,0.20053022414765412,0.6843097577194405,1.1627303733047158,-0.21675567857301514,0.5741822993787399,733,0.9727148703956344,WL_sampler
WL_sampler_seed46,0.29407634201162636,0.09267495294922812,0.19143369007175323,0.5584468604275873,0.8950959546240482,-0.2206980294618577,0.41991744636417216,733,0.9727148703956344,WL_sampler
WL_uniform_seed42,1.0010911241021234,0.2693264473206862,0.30480776753081734,0.917316964475822,2.339852417634883,-0.21566219145466925,1.2488347888150662,733,0.9727148703956344,WL_uniform
WL_uniform_seed43,0.299011111514937,0.09410566406871679,0.190361490447973,0.5674040919132577,0.9051189667161381,-0.21242249234449548,0.443011768810721,733,0.9727148703956344,WL_uniform
WL_uniform_seed44,1.0046128848453937,0.27009400720948085,0.3061186221989342,0.9165763887553482,2.3006079605521856,-0.21688033266591805,1.2453596132459508,733,0.9727148703956344,WL_uniform
WL_uniform_seed45,0.44591869212602764,0.13515791969831215,0.20176099637770303,0.7283447241556888,1.2301894037501515,-0.21219390102356267,0.6369547807281407,733,0.9727148703956344,WL_uniform
WL_uniform_seed46,0.3100521640551255,0.09729386938604567,0.18986997119613733,0.5836956871325053,0.9375087243230827,-0.2082790349021667,0.4671323229039676,733,0.9727148703956344,WL_uniform
WL_weighted_seed42,0.8893504549442974,0.24449801905970436,0.3039953820607276,0.8539671643086393,2.169724375618082,-0.2226347016657106,1.0982026486905077,733,0.9727148703956344,WL_weighted
WL_weighted_seed43,0.261274485203959,0.08307268066114615,0.19126107365340972,0.5126116642551529,0.8173907885362168,-0.21754634294804148,0.3818619956345905,733,0.9727148703956344,WL_weighted
WL_weighted_seed44,0.2714302660961829,0.08606297603925506,0.1901339299302689,0.52904823235392,0.842274839703704,-0.21798281755624443,0.3948154125361229,733,0.9727148703956344,WL_weighted
naive_vol,0.2540277857196329,0.08092927021693597,0.19633510009519675,0.4936706853572194,0.8457706329606344,-0.2233874234993739,0.3622821238061452,733,1.0,naive_vol
oracle,1.7324104339402422,0.4128019200135846,0.3064561914558643,1.2639014932343662,3.2826027242352036,-0.18172764671926328,2.2715416584428114,733,1.0,oracle
