file,val_n,val_n_embargo,atilan_%,full_thr,full_val_mcc,full_test_mcc,full_test_prec,full_test_rec,embargo_thr,embargo_val_mcc,embargo_test_mcc,embargo_test_prec,embargo_test_rec,d_test_mcc,d_thr
multi_pure_seed43,110389,105906,4.061093043690944,0.5186959348554196,0.10346153268144566,0.13224143006704148,0.18789458036760462,0.5436421595911551,0.5189558613559475,0.10205388853745435,0.13232553332927052,0.18813011557241718,0.5419723726154936,8.410326222904607e-05,0.0002599265005278628
multi_pure_seed44,110389,105906,4.061093043690944,0.5177759802859763,0.07750524416660749,0.12911284949035146,0.18656285539322895,0.5395435915599859,0.5227619802747483,0.0782580495965664,0.1286516655168786,0.19053558749592217,0.5024034812528462,-0.0004611839734728618,0.0049859999887720274
multi_pure_seed45,110389,105906,4.061093043690944,0.5641640200882054,0.08179970027244912,0.10652187148248478,0.21344565852031028,0.25896878004351565,0.5645668436950668,0.08226547288244668,0.10643029076378904,0.21386747546231938,0.25689419622526943,-9.15807186957357e-05,0.00040282360686139107
multi_pure_seed46,110389,105906,4.061093043690944,0.5148485843553192,0.09503111192878802,0.13886426791578857,0.20287040757109057,0.4598998127814603,0.5148380793207467,0.09550081606547671,0.13894493920730178,0.20289628704034274,0.46010221120275263,8.067129151320684e-05,-1.0505034572561023e-05
multi_pure_seed47,110389,105906,4.061093043690944,0.5151339495261775,0.09374127453401221,0.11978405907504275,0.18779733587059944,0.4793806608308455,0.5204846528037936,0.09452477996999857,0.11754245651841894,0.19042162162162163,0.44563072408035215,-0.002241602556623812,0.005350703277616109
multi_pure_seed48,110389,105906,4.061093043690944,0.5100023456720204,0.09768913908227593,0.12033370657590478,0.17995127614002387,0.5568992561858017,0.509043012244197,0.09684460328448477,0.12002615397578668,0.17920881386508603,0.5629712088245712,-0.0003075526001180967,-0.0009593334278233945
multi_pure_seed49,110389,105906,4.061093043690944,0.5071841342682423,0.09596804371686433,0.13432960083011355,0.18614754369156564,0.5702069523857713,0.5159449703617638,0.09629532524231536,0.13257287865445866,0.19152104657957736,0.5140919900824773,-0.0017567221756548956,0.008760836093521518
multi_pure_seed50,110389,105906,4.061093043690944,0.5188837073289829,0.10211172644384788,0.12412203370024368,0.19266810181081423,0.46192379699438346,0.5190920959024327,0.1015147814643513,0.12433014496918465,0.19292672596357477,0.46096240449324494,0.00020811126894097753,0.00020838857344973594
multi_pure_seed51,110389,105906,4.061093043690944,0.53013613595811,0.07813909016700224,0.10151171611571096,0.18979081699776346,0.3649749531953651,0.5303612514956542,0.07769421713879165,0.10135390834746218,0.1898684001902648,0.36355816424631887,-0.00015780776824877996,0.00022511553754411828
multi_pure_seed52,110389,105906,4.061093043690944,0.5317702756278887,0.09972996287140291,0.13449298934831136,0.21217119056271488,0.38405100440216566,0.5321144894650051,0.09947658896036395,0.13443470539773805,0.2126428672216735,0.38126802610939636,-5.828395057330682e-05,0.00034421383711635833
