fold,cell,seed,train_end,test_start,test_end,bh_return,threshold,minutes,val_roc_auc,val_pr_auc,val_accuracy,val_mcc,val_precision,val_recall,val_f1,test_roc_auc,test_pr_auc,test_accuracy,test_mcc,test_precision,test_recall,test_f1
F2015,I+II,42,2013-12-31,2015-07-01,2016-02-15,-0.17523672674159252,0.47101999402843553,20.7,0.6448226670304222,0.20989638034709104,0.5826574830087123,0.1468453812583297,0.19769047571397122,0.6358135942327497,0.30160450666381694,0.5807144024985421,0.24064992435608468,0.6385526883357439,0.08794624546568264,0.257230915125652,0.4018022466362178,0.3136593591905565
F2015,I+II,43,2013-12-31,2015-07-01,2016-02-15,-0.17523672674159252,0.5002036876024608,20.5,0.6436365528098966,0.2086686444215722,0.5914518998312275,0.14664369630199062,0.19904920664320552,0.6225540679711637,0.30165141048232413,0.6064357992954724,0.25397495016368377,0.6654741062140012,0.11035231412955226,0.2757434042177711,0.3857548450808542,0.3216013172789956
F2015,I+II,44,2013-12-31,2015-07-01,2016-02-15,-0.17523672674159252,0.4470078785742405,20.5,0.6390587031459165,0.2128629687566792,0.42575377457464764,0.1405400924783278,0.17628502758507675,0.8309088568486097,0.29086115992970124,0.5823267892490019,0.2387189589287574,0.552307731344041,0.11133861482764235,0.2516783762685402,0.5969633378595235,0.35407819592912576
F2015,I+II+IV,42,2013-12-31,2015-07-01,2016-02-15,-0.17523672674159252,0.46803323250550444,25.2,0.6039421954568519,0.1811214995707047,0.5450896318934453,0.10736650948876496,0.17998769506124504,0.6213954685890835,0.2791262486808437,0.6066508817081819,0.2604121789455769,0.6460632818248713,0.12077967477094516,0.2751115213044147,0.441550425873349,0.339003933090082
F2015,I+II+IV,43,2013-12-31,2015-07-01,2016-02-15,-0.17523672674159252,0.4561875265079196,20.8,0.6102574940058757,0.18705804813604834,0.5133056607216165,0.11655757976549495,0.17940413409526393,0.6809989701338826,0.2839925378142238,0.6037846130639639,0.25998898861207176,0.6155895562152699,0.11651720982600312,0.26551792961213494,0.49265522774966053,0.3450631160297423
F2015,I+II+IV,44,2013-12-31,2015-07-01,2016-02-15,-0.17523672674159252,0.4954368585168717,20.9,0.6072720276451276,0.1893128561573996,0.5935410299685262,0.10720971869988642,0.18558488276340313,0.5512358393408857,0.2776823060212055,0.6073636748537734,0.26319964881341057,0.682271447057928,0.11301129131226864,0.2829225179220269,0.3556351067769411,0.31513891927368193
F2018,I+II,42,2016-12-31,2018-09-01,2018-12-31,-0.19199784157256639,0.5020904963789976,33.1,0.6371177684500802,0.1772276093883157,0.4973501552334434,0.1366121024081164,0.1643080380658075,0.7427573616953727,0.26908975888890485,0.6343821328246602,0.3782833858374079,0.6008456100944705,0.17768861630159014,0.35455077553409425,0.5976813024173656,0.44507714915503305
F2018,I+II,43,2016-12-31,2018-09-01,2018-12-31,-0.19199784157256639,0.478981937697799,39.2,0.63165811100506,0.1721278329942523,0.4465680555280903,0.13290628017841183,0.15837560253300148,0.7979998412572427,0.2642972621285209,0.6484316816365335,0.3619200318813157,0.6008456100944705,0.20353421927849574,0.36225055432372505,0.6447952639368525,0.46388642413487136
F2018,I+II,44,2016-12-31,2018-09-01,2018-12-31,-0.19199784157256639,0.4877951900875289,35.2,0.641909151499702,0.18197279042907955,0.4264865826889992,0.13520529843393897,0.1570153041954344,0.82490673863005,0.2638152049752507,0.6402469040950862,0.37151310653267877,0.5791768514236638,0.1800128061655094,0.3473503822831532,0.6499753330044401,0.4527491408934708
F2018,I+II+IV,42,2016-12-31,2018-09-01,2018-12-31,-0.19199784157256639,0.5116137837122715,35.2,0.6684815391970563,0.20379019811303603,0.560046668907829,0.1688478584036456,0.18097257506351144,0.718072862925629,0.2890877136922831,0.6452012578008846,0.3759299878950572,0.64239941864306,0.18927950559667417,0.3778097464484805,0.5182535767143562,0.43702548101924077
