strategy,total_return,cagr,ann_vol,sharpe,sortino,max_drawdown,calmar,n_days,exclude_pct,turnover,grp
multi_text_seed42,0.2995388387926716,0.09425845396292654,0.19440708396692996,0.5601200363319718,0.9114510745620259,-0.224666773131349,0.41954781585712875,733,5,0.18609897647821413,multi_text
multi_text_seed43,0.6014878974950204,0.1757465902651032,0.2622394899304122,0.7383166078565429,1.609610638489905,-0.22457891289992138,0.7825605173510692,733,5,0.19121405033068883,multi_text
multi_text_seed44,0.20685053248397822,0.06677263623300922,0.18780968176082552,0.4379066214397413,0.6925299025912923,-0.22137197043430462,0.30163094316778005,733,5,0.1770597496651203,multi_text
multi_text_seed45,0.6308674991082959,0.1831177679150282,0.2634051878595638,0.7598844725888307,1.6541426789308533,-0.22635465846613226,0.8089860803215002,733,5,0.19160332952921408,multi_text
multi_text_seed46,0.1662378301303713,0.05429202527782895,0.18599559308725705,0.37710246686299004,0.5909128031795433,-0.22064762648084002,0.24605759936666896,733,5,0.17512469548919393,multi_text
multi_text_seed47,0.19525572291071436,0.06323793504777653,0.18715323204317771,0.42104699216889097,0.6638879632222506,-0.22524921916612156,0.2807465228154175,733,5,0.16058524207069527,multi_text
multi_text_seed48,0.6743224300723767,0.19386228285133433,0.26308535519344384,0.7948987341690533,1.7358461413243047,-0.21817274074753737,0.8885724320421206,733,5,0.1867140311764863,multi_text
multi_text_seed49,0.20918469000196915,0.06748151132804758,0.186814007963178,0.4428017860312402,0.7003589203703328,-0.22331034770736885,0.3021871221860124,733,5,0.16375547369674331,multi_text
multi_text_seed50,0.24027795681566388,0.07683993189033966,0.18849847636813,0.48685208999894863,0.767567016282074,-0.22610545031486826,0.33984113069072186,733,5,0.1808564371789159,multi_text
multi_text_seed51,0.7693415198233293,0.21673451029602564,0.26798508679233557,0.8557782862948217,1.9054954335708187,-0.22741712191628496,0.9530263529401637,733,5,0.1974530890285465,multi_text
