period,n,crisis_rate,fwd_ret_target1,fwd_ret_target0,diff_mean,diff_median
2022,55318,0.1533135688202755,-0.1639187704082983,0.02628876939940662,-0.1902075398077049,-0.15179091847961634
2023,52902,0.12619560697138105,-0.09980668553591988,0.04556516718788906,-0.14537185272380895,-0.13033549849865034
2024,42709,0.11753962864969912,-0.12434858787981574,0.03966855495413221,-0.16401714283394797,-0.1286829396202402
TÜM,150929,0.13368537524266377,-0.13286090279165655,0.03696043409243191,-0.16982133688408846,-0.1387366129927421
