strategy,total_return,cagr,ann_vol,sharpe,sortino,max_drawdown,calmar,n_days,mode,avg_invested,avg_cash,turnover,grp
buy_hold,0.7013003648561591,0.2004409613584941,0.2733940624573054,0.7918551903042745,1.9189150244052944,-0.2120655065818283,0.945184177235119,733,buy_hold,0.9999999999999999,0.0,0.01351351351351351,buy_hold
WL_uniform_seed42__renorm,1.0010911241021234,0.2693264473206862,0.30480776753081734,0.917316964475822,2.339852417634883,-0.21566219145466925,1.2488347888150662,733,renorm,0.9727148703956344,0.0,0.08714235143916332,WL_uniform__renorm
WL_uniform_seed42__cash,0.924448791367015,0.25239819152517273,0.279711597734062,0.9295011830545515,2.369672258578802,-0.19773770351943223,1.2764292647930386,733,cash,0.892631103473965,0.08230750160219959,0.08145614660078254,WL_uniform__cash
WL_uniform_seed42__timing,0.6961193661569147,0.19918289279002788,0.2358564785305497,0.8807869797708677,1.8176082289492659,-0.23087999237283874,0.8627117956084107,733,timing,0.8466190196955727,0.12837258133770155,0.24691509001897327,WL_uniform__timing
WL_uniform_seed42__timing_oracle,1.3161013619239283,0.3347531751200914,0.2930410358117071,1.1138067914720322,3.2451461543150493,-0.17305759115841005,1.934345513995232,733,timing_oracle,0.8860379106622559,0.08824196039523127,0.2117972908352053,WL_uniform__timing_oracle
WL_uniform_seed43__renorm,0.299011111514937,0.09410566406871679,0.190361490447973,0.5674040919132577,0.9051189667161381,-0.21242249234449548,0.443011768810721,733,renorm,0.9727148703956344,0.0,0.08020552730986531,WL_uniform__renorm
WL_uniform_seed43__cash,0.2888034798339929,0.09114225843483403,0.17469885540705007,0.5864461738315847,0.9350483001997052,-0.19467442154813833,0.46817788238449565,733,cash,0.892631103473965,0.08230750160219959,0.07508998662603096,WL_uniform__cash
WL_uniform_seed43__timing,0.24068874006991603,0.0769625329533632,0.17520868811740456,0.5106512343175228,0.775075375423957,-0.22714561226957108,0.3388246516601248,733,timing,0.8654326180826477,0.10921929297974883,0.22069711832578895,WL_uniform__timing
WL_uniform_seed43__timing_oracle,0.4970874474066391,0.14881126533264877,0.17126364216553314,0.8954562259870403,1.5283836745430155,-0.17316693380035905,0.8593515058955222,733,timing_oracle,0.8860379106622559,0.08824196039523127,0.20647381023453387,WL_uniform__timing_oracle
WL_uniform_seed44__renorm,1.0046128848453937,0.27009400720948085,0.3061186221989342,0.9165763887553482,2.3006079605521856,-0.21688033266591805,1.2453596132459508,733,renorm,0.9727148703956344,0.0,0.08912785551761117,WL_uniform__renorm
WL_uniform_seed44__cash,0.9275176876199351,0.25308445005131874,0.28091313114538413,0.9285922531202272,2.329455825557177,-0.19863267828526918,1.274132998840442,733,cash,0.892631103473965,0.08230750160219959,0.08327811934290305,WL_uniform__cash
WL_uniform_seed44__timing,0.6922595593688001,0.19824400066115588,0.23804610370674995,0.8715093019505026,1.7886939046321157,-0.23295079615414246,0.8510123336516899,733,timing,0.858588637706513,0.1161868452237861,0.24210560661504874,WL_uniform__timing
WL_uniform_seed44__timing_oracle,1.3138543117113093,0.3343078358001852,0.2940773702639317,1.1096717390182407,3.188955621903087,-0.17564161502462208,1.9033520942819884,733,timing_oracle,0.8860379106622559,0.08824196039523127,0.21422964473162234,WL_uniform__timing_oracle
WL_uniform_seed45__renorm,0.44591869212602764,0.13515791969831215,0.20176099637770303,0.7283447241556888,1.2301894037501515,-0.21219390102356267,0.6369547807281407,733,renorm,0.9727148703956344,0.0,0.08609313386646263,WL_uniform__renorm
WL_uniform_seed45__cash,0.4229223610083763,0.12891844674651431,0.18520808083748616,0.7466054349303012,1.2607364373547152,-0.19446386120375814,0.662942954791144,733,cash,0.892631103473965,0.08230750160219959,0.08049001468424889,WL_uniform__cash
WL_uniform_seed45__timing,0.36110882938594835,0.1118120479042326,0.1829206007943753,0.6703999722868361,1.068519673446982,-0.222710958810761,0.5020500495408493,733,timing,0.8682512715830548,0.10634974712447332,0.24039428582985709,WL_uniform__timing
WL_uniform_seed45__timing_oracle,0.6698170777167689,0.19275687054575164,0.18345407533032929,1.0517008612047234,1.9295812451146912,-0.17097209561942756,1.127417136974302,733,timing_oracle,0.8860379106622559,0.08824196039523127,0.21149562660658147,WL_uniform__timing_oracle
WL_uniform_seed46__renorm,0.3100521640551255,0.09729386938604567,0.18986997119613733,0.5836956871325053,0.9375087243230827,-0.2082790349021667,0.4671323229039676,733,renorm,0.9727148703956344,0.0,0.08004571911973013,WL_uniform__renorm
WL_uniform_seed46__cash,0.2988929473648938,0.09407144708963577,0.17424877760045762,0.6028881739679286,0.9684510694317928,-0.19079321824717102,0.49305445945026727,733,cash,0.892631103473965,0.08230750160219959,0.07494439451238667,WL_uniform__cash
WL_uniform_seed46__timing,0.28415700557287615,0.08978822551088617,0.17201616846210113,0.5857260094610373,0.905437554610011,-0.21397112503451476,0.41962776751490566,733,timing,0.8580147171924438,0.1167711281915816,0.22365687055968347,WL_uniform__timing
WL_uniform_seed46__timing_oracle,0.5030620208505796,0.15038538303269444,0.17095695269254205,0.9047591885641167,1.553001674615836,-0.16942853491620533,0.8876036324522956,733,timing_oracle,0.8860379106622559,0.08824196039523127,0.20641549855244012,WL_uniform__timing_oracle
