strategy,total_return,cagr,ann_vol,sharpe,sortino,max_drawdown,calmar,n_days,exclude_pct,turnover,grp
multi_pure_seed43,0.6536727997503387,0.188779637054034,0.2624704644054872,0.779842301915239,1.717074409200312,-0.22295729801091352,0.8467075926117181,733,5,0.18360876493502695,multi_pure
multi_pure_seed44,0.17450474352825895,0.05685536665192892,0.1854511938191828,0.3907569455650073,0.614950710263172,-0.22034190437841053,0.2580324737245019,733,5,0.16880953441927793,multi_pure
multi_pure_seed45,0.23361686283154337,0.07484815294739278,0.18871635059121086,0.4766685428279627,0.7581451448626578,-0.21804134614239773,0.34327504517657487,733,5,0.17717074134519575,multi_pure
multi_pure_seed46,0.22725910416400708,0.07294048285093391,0.18658249036406782,0.47046327932127496,0.7450182890814087,-0.21980064660551202,0.3318483543037255,733,5,0.16770994489987637,multi_pure
multi_pure_seed47,0.19496587518076658,0.06314928669731845,0.18853914248354697,0.4188953850773927,0.660725129774365,-0.22949018998226522,0.27517205289776686,733,5,0.18096431208759053,multi_pure
multi_pure_seed48,0.6007101298497466,0.1755502516509002,0.26252477856233275,0.7370804996823392,1.6225596303046412,-0.2233814712999746,0.7858765126278411,733,5,0.18638697478554364,multi_pure
multi_pure_seed49,0.5817041756054773,0.17073283188695232,0.26227961260953764,0.7217997211835903,1.5858836481273564,-0.21911979772942153,0.7791757461266942,733,5,0.18922226207302967,multi_pure
multi_pure_seed50,0.19050240986415745,0.0617823748800157,0.18669271414819485,0.41430690758247735,0.6516672409320061,-0.22155315082797952,0.2788602854399727,733,5,0.1795743862167451,multi_pure
multi_pure_seed51,0.16399369839315647,0.0535941254219674,0.18698562792999116,0.37253398025953555,0.5890541853596009,-0.2272031819239827,0.23588633296473305,733,5,0.17932532783687283,multi_pure
multi_pure_seed52,0.618812158598234,0.18010377872364103,0.2629322440646501,0.7510282402306535,1.6452767357913627,-0.22459965393555295,0.8018880508841761,733,5,0.1829500981418305,multi_pure
naive_vol,0.21865221508961397,0.07034759225024168,0.19413723897527327,0.4467411784346758,0.7488484924976827,-0.22549434496886633,0.3119705385957881,733,5,0.15726210541816976,naive_vol
multi_pure_seed43,0.2620577124195649,0.08330385725610356,0.18809491073512966,0.5192987640056336,0.8227677042335009,-0.21872125166082942,0.3808676871751021,733,8,0.21335045860239732,multi_pure
multi_pure_seed44,0.17351460463947266,0.05654897732571418,0.18552095504355973,0.3891249486677754,0.6114400362616004,-0.2237752519918597,0.2527043398336616,733,8,0.21347952714570356,multi_pure
