feature,group,mean_xs_std,max_xs_std
RSI,Teknik (I),10.924711760747504,15.974399823052918
Vol_20d,Teknik (I),1.6364996604287025,39.97673580935072
Altman_Z,Firma fundamental (II),3.7031201014461543,4.745384265646564
Debt_to_Equity,Firma fundamental (II),0.2716973319306208,0.8958206365581719
VIX_Close,Makro (III),0.0,0.0
SPY_Trend_50,Makro (III),0.0,0.0
Yield_Spread_10Y2Y,Makro (III),0.00334670658906539,0.8425318658520691
