year,strat_return,strat_sharpe,strat_maxdd,bench_return,bench_sharpe,bench_maxdd,avg_flag_rate,ablation,seed
2022,-0.08889525114506525,-0.3050542019525535,-0.22819108216786838,-0.07369106635465661,-0.23387854639882114,-0.20961300563340787,0.21311016569637256,multi_pure,42
2023,0.19969343323475242,1.1147590662085824,-0.1232723053229481,0.5590307865697157,1.3580682551911365,-0.13513818398402086,0.3486233766233766,multi_pure,42
2024,0.08581585881362286,0.7442345880310306,-0.06128276610784374,0.24850459019718296,1.552493814857697,-0.06071139961174572,0.317379459620839,multi_pure,42
2022,-0.05325035924415267,-0.1297045326468514,-0.20440609639302648,-0.07369106635465661,-0.23387854639882114,-0.20961300563340787,0.29398044484251384,multi_pure,43
2023,0.2056101872211089,1.1153659469423813,-0.13276079560539525,0.5590307865697157,1.3580682551911365,-0.13513818398402086,0.4467186147186147,multi_pure,43
2024,0.2177734341779265,1.4321881674157348,-0.061677787576165925,0.24850459019718296,1.552493814857697,-0.06071139961174572,0.4275824749962681,multi_pure,43
2022,-0.0776432143122856,-0.25541728867258795,-0.22368787184620034,-0.07369106635465661,-0.23387854639882114,-0.20961300563340787,0.3126772652634721,multi_pure,44
2023,0.13926112219986342,0.952790476926431,-0.12144578082908376,0.5590307865697157,1.3580682551911365,-0.13513818398402086,0.44593939393939397,multi_pure,44
2024,0.11129112247200745,0.8904798553024986,-0.06743488565191717,0.24850459019718296,1.552493814857697,-0.06071139961174572,0.4208837139871623,multi_pure,44
2022,-0.07625494762905882,-0.24615541086751203,-0.20769136183818251,-0.07369106635465661,-0.23387854639882114,-0.20961300563340787,0.12895581430064187,multi_pure,45
2023,0.11617126959603707,0.8260254941537253,-0.13432808819948083,0.5590307865697157,1.3580682551911365,-0.13513818398402086,0.19454545454545458,multi_pure,45
2024,0.16249867636151816,1.2307658640442039,-0.059894001952964016,0.24850459019718296,1.552493814857697,-0.06071139961174572,0.19601806239737277,multi_pure,45
2022,-0.10224615215039679,-0.3780270624548206,-0.22904884148009375,-0.07369106635465661,-0.23387854639882114,-0.20961300563340787,0.205534408120615,multi_pure,46
2023,0.2146171007459703,1.2259341284437866,-0.1199503301124542,0.5590307865697157,1.3580682551911365,-0.13513818398402086,0.35980952380952386,multi_pure,46
2024,0.1109873086377593,0.9131155931542695,-0.06158163641326591,0.24850459019718296,1.552493814857697,-0.06071139961174572,0.3490819525302284,multi_pure,46
2022,-0.08249367890367276,-0.26753862823450275,-0.21722192746514238,-0.07369106635465661,-0.23387854639882114,-0.20961300563340787,0.16345723242274968,multi_xs,42
2023,0.8044801077806696,1.2773377775975658,-0.13139750627477884,0.5590307865697157,1.3580682551911365,-0.13513818398402086,0.273038961038961,multi_xs,42
2024,0.2659807723691554,1.470951289258986,-0.06361026173136825,0.24850459019718296,1.552493814857697,-0.06071139961174572,0.2625765039558143,multi_xs,42
2022,-0.07554375961030368,-0.24775168615020793,-0.2175296734409951,-0.07369106635465661,-0.23387854639882114,-0.20961300563340787,0.15341842065979996,multi_xs,43
2023,0.11445796511053952,0.8239026973172161,-0.1269047802325205,0.5590307865697157,1.3580682551911365,-0.13513818398402086,0.25783549783549786,multi_xs,43
2024,0.07844778874851399,0.6976342280931146,-0.06051722001095733,0.24850459019718296,1.552493814857697,-0.06071139961174572,0.24791013584117033,multi_xs,43
2022,-0.07885497520299312,-0.25042130302436105,-0.21989918835769823,-0.07369106635465661,-0.23387854639882114,-0.20961300563340787,0.22775787430959846,multi_xs,44
2023,0.21262581471067188,1.2207222100981547,-0.13137140470921396,0.5590307865697157,1.3580682551911365,-0.13513818398402086,0.32221645021645023,multi_xs,44
2024,0.12974312779014996,1.0431004189054833,-0.06074989856423361,0.24850459019718296,1.552493814857697,-0.06071139961174572,0.3286311389759666,multi_xs,44
2022,-0.08596731401516788,-0.29296329497161455,-0.21894353257769025,-0.07369106635465661,-0.23387854639882114,-0.20961300563340787,0.3420659799970145,multi_xs,45
2023,0.1994659256837117,1.0758734605435116,-0.1286569583520878,0.5590307865697157,1.3580682551911365,-0.13513818398402086,0.4458874458874459,multi_xs,45
2024,0.14309565818939607,1.0105807766458272,-0.06700335850306857,0.24850459019718296,1.552493814857697,-0.06071139961174572,0.4599940289595462,multi_xs,45
2022,-0.0684585273435282,-0.20496827740818643,-0.23060010912531667,-0.07369106635465661,-0.23387854639882114,-0.20961300563340787,0.31821913718465444,multi_xs,46
2023,0.21665221044135308,1.1564584082395701,-0.13186344229527008,0.5590307865697157,1.3580682551911365,-0.13513818398402086,0.4393766233766233,multi_xs,46
2024,0.12523826147983974,0.9868393796221516,-0.06469448773232406,0.24850459019718296,1.552493814857697,-0.06071139961174572,0.4184393193013883,multi_xs,46
2022,-0.07535900423976905,-0.2426379167123576,-0.20616394390622192,-0.07369106635465661,-0.23387854639882114,-0.20961300563340787,0.00839677563815495,fund_pure_only,42
2023,0.560487078608201,1.3573156490711753,-0.13502609555033018,0.5590307865697157,1.3580682551911365,-0.13513818398402086,0.0037056277056277055,fund_pure_only,42
2024,0.24806721736358606,1.5508435170943642,-0.06076850933421614,0.24850459019718296,1.552493814857697,-0.06071139961174572,0.0014554411106135244,fund_pure_only,42
2022,-0.07494051339899088,-0.24052979281970796,-0.20598031656763424,-0.07369106635465661,-0.23387854639882114,-0.20961300563340787,0.0074264815644125995,fund_pure_only,43
2023,0.5627034076163164,1.3611433373571815,-0.13502609555032982,0.5590307865697157,1.3580682551911365,-0.13513818398402086,0.0041385281385281384,fund_pure_only,43
2024,0.24875379647184115,1.5546857204034885,-0.060972986020608654,0.24850459019718296,1.552493814857697,-0.06071139961174572,0.002724287207045828,fund_pure_only,43
2022,-0.07918149193007351,-0.26126426977689776,-0.21020036107772216,-0.07369106635465661,-0.23387854639882114,-0.20961300563340787,0.004739513360203015,fund_pure_only,44
2023,0.5626989537791245,1.3578133366415472,-0.13594772671339928,0.5590307865697157,1.3580682551911365,-0.13513818398402086,0.0063030303030303025,fund_pure_only,44
2024,0.2502814195771903,1.5627238703450388,-0.06071139961174573,0.24850459019718296,1.552493814857697,-0.06071139961174572,0.0010449320794148381,fund_pure_only,44
2022,-0.07531476384468583,-0.24159741036607224,-0.20896670398888778,-0.07369106635465661,-0.23387854639882114,-0.20961300563340787,0.006120316465144051,fund_pure_only,45
2023,0.5578510329941462,1.3497705178580455,-0.14034824770044532,0.5590307865697157,1.3580682551911365,-0.13513818398402086,0.009142857142857144,fund_pure_only,45
2024,0.2520972346161203,1.573748150764014,-0.06071139961174544,0.24850459019718296,1.552493814857697,-0.06071139961174572,0.0034893267651888347,fund_pure_only,45
2022,-0.07638937238197463,-0.24776966145392476,-0.20932392216356158,-0.07369106635465661,-0.23387854639882114,-0.20961300563340787,0.007258546051649499,fund_pure_only,46
2023,0.5613316329317639,1.3582887549339921,-0.13542448663133547,0.5590307865697157,1.3580682551911365,-0.13513818398402086,0.003324675324675325,fund_pure_only,46
2024,0.24919257213557744,1.5556032270411548,-0.060711399611745875,0.24850459019718296,1.552493814857697,-0.06071139961174572,0.001716674130467234,fund_pure_only,46
2022,-0.07595851410783616,-0.24589832614455914,-0.20751464400087827,-0.07369106635465661,-0.23387854639882114,-0.20961300563340787,0.003078817733990148,fund_xs_only,42
2023,0.5620241694825503,1.3631931589855297,-0.13341301501160363,0.5590307865697157,1.3580682551911365,-0.13513818398402086,0.0052640692640692635,fund_xs_only,42
2024,0.2494227002814804,1.5522262909576496,-0.060966204697018536,0.24850459019718296,1.552493814857697,-0.06071139961174572,0.003228093745335125,fund_xs_only,42
2022,-0.044091715981065094,-0.11957369765423838,-0.19659283247300527,-0.07369106635465661,-0.23387854639882114,-0.20961300563340787,0.8646439767129424,fund_xs_only,43
2023,0.43588787656420536,1.23190087452928,-0.1156897862094886,0.5590307865697157,1.3580682551911365,-0.13513818398402086,0.8606926406926406,fund_xs_only,43
2024,0.12486621573787882,1.057330018479899,-0.06962053578176207,0.24850459019718296,1.552493814857697,-0.06071139961174572,0.8702231676369606,fund_xs_only,43
2022,-0.0817703244015563,-0.2757276313177219,-0.20387185089485702,-0.07369106635465661,-0.23387854639882114,-0.20961300563340787,0.02666442752649649,fund_xs_only,44
2023,0.5524760570402327,1.3322701682694957,-0.13993920818282435,0.5590307865697157,1.3580682551911365,-0.13513818398402086,0.013904761904761906,fund_xs_only,44
2024,0.24838129513678076,1.5521815104422538,-0.060768509334216056,0.24850459019718296,1.552493814857697,-0.06071139961174572,0.0015300791162860127,fund_xs_only,44
2022,-0.08958220921467397,-0.33382390242258325,-0.23648627502581931,-0.07369106635465661,-0.23387854639882114,-0.20961300563340787,0.8544745484400657,fund_xs_only,45
2023,1.8704753983183413,1.1057340151077217,-0.1495707327948456,0.5590307865697157,1.3580682551911365,-0.13513818398402086,0.8404155844155844,fund_xs_only,45
2024,0.0798605125849079,0.7575794870114554,-0.06984234985657892,0.24850459019718296,1.552493814857697,-0.06071139961174572,0.8262987012987013,fund_xs_only,45
2022,-0.07930976150074664,-0.2968219076538236,-0.23446101361956542,-0.07369106635465661,-0.23387854639882114,-0.20961300563340787,0.839546947305568,fund_xs_only,46
2023,2.0094921681248157,1.2269458254793795,-0.10239049228875861,0.5590307865697157,1.3580682551911365,-0.13513818398402086,0.8352727272727273,fund_xs_only,46
2024,0.17577101362007141,1.4184049802020233,-0.06269452934932819,0.24850459019718296,1.552493814857697,-0.06071139961174572,0.8424018510225407,fund_xs_only,46
2022,-0.07024130451546617,-0.2177797789031011,-0.20627258088031217,-0.07369106635465661,-0.23387854639882114,-0.20961300563340787,0.008247499626809972,macro_only,42
2023,0.47032670206813587,1.2039153212816283,-0.13746727672938758,0.5590307865697157,1.3580682551911365,-0.13513818398402086,0.1601558441558441,macro_only,42
2024,0.1907029524266115,1.3807302157676495,-0.059665855461326175,0.24850459019718296,1.552493814857697,-0.06071139961174572,0.43801313628899846,macro_only,42
2022,-0.13529270488734435,-0.5686675940969304,-0.2623935063878437,-0.07369106635465661,-0.23387854639882114,-0.20961300563340787,0.0796760710553814,macro_only,43
2023,0.48405130117569883,1.2250257749488496,-0.1176684886544185,0.5590307865697157,1.3580682551911365,-0.13513818398402086,0.22711688311688316,macro_only,43
