metric,mean,std,min,max,n
stacked_test_mcc,0.030592313879722312,0.017258532223239063,0.003913070008662394,0.04806523761624553,5
stacked_test_pr_auc,0.14584660831715524,0.006781021639010225,0.1354404472074272,0.15247620099541626,5
tech_only_test_mcc,0.1118289471320479,0.014542366067549065,0.09242120231429564,0.13238533641839595,5
fund_only_test_mcc,0.012461260725115195,0.021997788228477817,-0.014801973877415598,0.03805495170636818,5
