year,n_stocks,Close,Vol_20d,Debt_to_Equity,Current_Ratio,Net_Profit_Margin,Altman_Z,Retained_Earnings_TA,Market_Value_to_Liab
2010,394,30.03,0.3001726101514464,0.5353582053549891,1.9387075815535568,0.0626988036693376,2.007151326597418,0.2093527106307359,1.8337707928736453
2011,372,34.79,0.3209232016974933,0.539334292180904,1.850104223786656,0.0674787156648774,2.0867799804465723,0.2141998486220151,1.9440071898546112
2012,349,34.94,0.26244842461379203,0.5535437501481579,1.8383173547251024,0.0640985395935082,1.894430201478544,0.2256650814004447,1.7302254784929163
2013,328,41.71,0.2223884140699565,0.55716891151541,1.8493517780835809,0.0649410736849027,1.9435959700674208,0.2403185631241421,1.8077217034231496
2014,317,45.175,0.2184688800993459,0.5594910668366092,1.7859751407462947,0.0617097717056752,2.081020208664598,0.2566610701511059,1.9945451790494468
2015,308,46.06,0.254381285501895,0.5747239103443769,1.8138375007203948,0.0616044651782739,1.9480439101774043,0.2462344129498268,1.9244339874206544
2016,284,45.36,0.26539680834421775,0.5877298364248219,1.770949720670391,0.0640368486709528,1.8935521233222523,0.2234785500498836,1.750692932782809
2017,262,48.66,0.2105243378991678,0.5908365261813537,1.7567567567567568,0.0639385706596694,1.9515998801086625,0.2231869432071269,1.81949309285658
2018,257,48.23,0.2694336611943571,0.5819676884866173,1.71483450835173,0.0680230024395008,2.0418983192739093,0.2308450253932148,1.882854944353734
2019,244,47.955,0.27433784782385173,0.5899489717024896,1.5726845462344734,0.0674245393963151,1.7620697343754148,0.1927505644448807,1.648950984023153
2020,237,47.435,0.399002521205318,0.6090715048025613,1.5512894827000876,0.0564589159739964,1.6458366243841756,0.1985430591214789,1.4255960864838748
2021,242,60.13,0.28500199325284137,0.6082405881648639,1.61782159240793,0.0765621667732992,1.970642372035756,0.2198748043818466,1.882876413516226
2022,228,55.54,0.3632002872691726,0.590171443528334,1.513803082629421,0.0823978502724829,1.8866995972332008,0.2246981332441698,1.8052372724155663
2023,218,57.97,0.28207712679682406,0.5848375360666366,1.5613522537562603,0.0750658472344161,1.827944729934403,0.242789060342333,1.7281507613653142
2024,208,64.91,0.2737447476008728,0.5796379864722829,1.539674334453347,0.0747740345110928,1.8577029155965408,0.2556819941167363,1.80541809594096
