baseline,n_test,val_mcc,test_mcc,test_pr_auc,test_roc_auc,test_precision,test_recall,threshold,coverage
Naive volatility (Vol_20d),142043,0.05276175905048328,0.0010148977409187255,0.10232250332278378,0.3745918739116656,0.13736263736263737,0.0026949819436209777,2.513460259605959,0.8034971869818285
Altman Z (1968),142043,0.031141014428100623,-0.0014584195175573718,0.1389786412224554,0.5198297452304308,0.12352941176470589,0.004527569665283243,5.26414513218301,0.8034971869818285
"GARCH(1,1)",142043,0.028451380283098286,-0.011567936749529049,0.11382202226072814,0.43512939581856913,0.10383440787241262,0.016493289494960383,9.106573107386696,0.8034971869818285
CHS (2008) logit,142043,0.1391985984308426,0.026842335149851685,0.13903973876754744,0.5285281149119176,0.1365438808373591,0.731256400582116,0.10287690217802029,0.8034971869818285
