ablation,metric,mean,std,min,max,n
macro_only,test_mcc,0.0008186379836815395,0.016383205174298626,-0.011336293600160169,0.019450092800102167,3
fund_pure_only,test_mcc,0.005951070936260075,0.009272252779952693,-0.004747844242252879,0.011653490446379516,3
fund_xs_only,test_mcc,0.023116595601735318,0.010234880920791042,0.013020724533985315,0.033485041261556776,3
multi_pure,test_mcc,0.13033708940945293,0.0016714983897923759,0.12911284949035146,0.13224143006704148,3
multi_xs,test_mcc,0.12493582756772131,0.00589514439085249,0.11816046829697639,0.12889237226024505,3
macro_only,test_pr_auc,0.13513726633470016,0.006518253070221078,0.12963962841733345,0.14233800691046028,3
fund_pure_only,test_pr_auc,0.1440041118214803,0.002160435871636886,0.1416538467523245,0.1459035880134371,3
fund_xs_only,test_pr_auc,0.142360176534805,0.000876481824854715,0.14144251679225464,0.1431886627829729,3
multi_pure,test_pr_auc,0.19807155351099145,0.0030202928137493703,0.1948628000391698,0.20085918615691942,3
multi_xs,test_pr_auc,0.19778711028972396,0.008819822122340141,0.18774680173042593,0.20428490298768986,3
macro_only,val_mcc,0.18349426005651762,0.043946822915595714,0.1425262567429448,0.22991164315015186,3
fund_pure_only,val_mcc,0.04542226851945456,0.007506952819779975,0.03909881151186103,0.053718659548017654,3
fund_xs_only,val_mcc,0.035268252505051875,0.004587493436449904,0.030157240610372484,0.03902927248748419,3
multi_pure,val_mcc,0.09056215951998559,0.012978861391626606,0.07750524416660749,0.10346153268144566,3
multi_xs,val_mcc,0.08716731811931722,0.002152905588312423,0.08468250909618928,0.08847526316126743,3
macro_only,gen_gap,-0.18267562207283605,0.03167557760639291,-0.2104615503500497,-0.14818414199184218,3
fund_pure_only,gen_gap,-0.03947119758319448,0.01655104284198384,-0.05846650379027053,-0.02815124490720744,3
fund_xs_only,gen_gap,-0.012151656903316557,0.0059640429709427855,-0.01713651607638717,-0.005544231225927412,3
multi_pure,gen_gap,0.03977492988946735,0.011436883171847616,0.028779897385595818,0.05160760532374396,3
multi_xs,gen_gap,0.03776850944840408,0.003769494199490612,0.03347795920078711,0.040548190159750086,3
