strategy,total_return,cagr,ann_vol,sharpe,sortino,max_drawdown,calmar,n_days,cost_bps,turnover,avg_invested,grp
buy_hold_true,0.1479917225125753,0.04998845890131731,0.1801813967766342,0.3607056337796733,0.5682943266857373,-0.22265665486461997,0.2245091615685656,713,10,0.9990009990010005,1.0,buy_hold_true
equal_weight_rebal,0.6919892120196589,0.20427029162836496,0.26561605921561965,0.8234187530469528,1.823644790152815,-0.2267774620974538,0.9007521723679192,713,10,0.11929403992818677,1.0,equal_weight_rebal
multi_text_seed42,0.28746365004742724,0.09341319702520212,0.19816650540079564,0.5491004106247583,0.9181083387913312,-0.21435220005614505,0.43579304061602586,713,10,0.41689092978900544,1.0,multi_text
multi_text_seed43,0.18091097283905877,0.06053292692357681,0.18946457995447072,0.40478914853331266,0.6414918940139466,-0.22023973719289502,0.2748501596265509,713,10,0.40872396951670914,1.0,multi_text
multi_text_seed44,0.17866428321561667,0.05981937037344731,0.18903636441995628,0.40170002018848555,0.638726114993541,-0.21454736329452953,0.27881661864717294,713,10,0.4113457760253503,1.0,multi_text
multi_text_seed45,0.17067341235607603,0.057274291689751955,0.189768538607284,0.38821360592202103,0.6148636257944312,-0.2305560590676872,0.24841807203573527,713,10,0.41960568164048734,1.0,multi_text
multi_text_seed46,0.2350533749111503,0.07746966894367757,0.18917145898612112,0.488898134922506,0.7743457421938932,-0.22168680175870767,0.3494554855277244,713,10,0.40901963072460273,1.0,multi_text
multi_text_seed47,0.1740602173447645,0.05835435046957427,0.18849737688031498,0.39497563323081264,0.6273520506377696,-0.22311755519148715,0.26154082953935454,713,10,0.3937897819031597,1.0,multi_text
multi_text_seed48,0.24266298342347792,0.07981136031960223,0.1899405255380032,0.49907452719081946,0.7916766463532076,-0.2173967470766419,0.3671230659742357,713,10,0.39113215261250067,1.0,multi_text
multi_text_seed49,0.1819585150609324,0.06086533000859129,0.1876134437581473,0.40858008129191986,0.6506627289079323,-0.21660653889736245,0.28099488740472384,713,10,0.38749531457439923,1.0,multi_text
multi_text_seed50,0.2835603181462656,0.09224040233502317,0.19274170918469583,0.5539903057231615,0.8812947978480743,-0.22282260294039322,0.4139634001120533,713,10,0.42497062386946477,1.0,multi_text
multi_text_seed51,0.2409505123877973,0.07928519483091745,0.19059079416543587,0.4954579504960651,0.7954194758819246,-0.22108119755218977,0.3586247754615175,713,10,0.4195578576069374,1.0,multi_text
