n,base_rate,roc_auc,pr_auc,mcc,precision,recall,f1,accuracy,flag_rate,ablation,seed,year,threshold
51187,0.14722488131752204,0.6348320452988896,0.21225400648564618,0.11684302028350421,0.22792049503093945,0.32258492569002123,0.2671135040105483,0.7393869537187177,0.2083732197628304,multi_pure,42,2022,0.5275387884801048
53162,0.12627440653098077,0.6612500510203039,0.20799069967023032,0.15254405625158934,0.1955524369838614,0.5396990913153583,0.2870839936608558,0.6615251495429065,0.34850080884842555,multi_pure,42,2023,0.5275387884801048
46812,0.11779031017687773,0.6494321385652901,0.1843748570175433,0.1363331084133469,0.1822341857335128,0.49111352919840406,0.26582899774222046,0.6804665470392207,0.3174399726565838,multi_pure,42,2024,0.5275387884801048
51187,0.14722488131752204,0.6306695871241984,0.21060534494847524,0.12750973297342422,0.2190666574757014,0.42170912951167727,0.2883455065100032,0.6935354679899193,0.2834118037783031,multi_pure,43,2022,0.5186959342334581
53162,0.12627440653098077,0.6527549840050004,0.19974953579506396,0.14314994532276692,0.18007892930679478,0.6253537911514971,0.27963363863447127,0.5931492419397314,0.43850870922839624,multi_pure,43,2023,0.5186959342334581
46812,0.11779031017687773,0.650199182167957,0.18308974377417536,0.14631201496187243,0.1739489722136143,0.6108088501994922,0.2707830840971217,0.6124925232846279,0.41361189438605483,multi_pure,43,2024,0.5186959342334581
51187,0.14722488131752204,0.6264549438314063,0.21462189860422298,0.11034659617432564,0.20666235446313067,0.4239649681528662,0.2778744129413811,0.675581690663645,0.30202981225701836,multi_pure,44,2022,0.5177759888429306
53162,0.12627440653098077,0.663158690644553,0.21150401251261813,0.1555948620598115,0.1851964007613774,0.6377178608669746,0.28703610580307753,0.5999586170572966,0.4348218652420902,multi_pure,44,2023,0.5177759888429306
46812,0.11779031017687773,0.6496403376202126,0.18078622139878728,0.1352539019690338,0.17153775768340598,0.5779833151976786,0.26455817042294444,0.6214859437751004,0.3968854139964112,multi_pure,44,2024,0.5177759888429306
51187,0.14722488131752204,0.6207102063676174,0.20832568705646864,0.10273580335396065,0.24603563838482917,0.19970806794055201,0.22046436680583023,0.7920761130755856,0.11950299880829117,multi_pure,45,2022,0.5641640200882054
53162,0.12627440653098077,0.6492432926047391,0.19679021926826523,0.12438915936652285,0.21370427614631632,0.3089527781915686,0.25264953100255816,0.7691960422858433,0.1825552086076521,multi_pure,45,2023,0.5641640200882054
46812,0.11779031017687773,0.6359995876815122,0.16853997373497293,0.10103389774850743,0.18869543894065718,0.279107725788901,0.22516459400146305,0.7737332307955225,0.1742288302144749,multi_pure,45,2024,0.5641640200882054
51187,0.14722488131752204,0.6435546966673169,0.21759858421839226,0.1226779402906912,0.23455332546241636,0.31634819532908703,0.26937853107344634,0.7473577275480102,0.19856604215914198,multi_pure,46,2022,0.5148485827166899
53162,0.12627440653098077,0.677255706053546,0.21640403651020887,0.17061263828938675,0.2023288898255967,0.5720244302100402,0.29892573563755254,0.6611865618298784,0.35700312253113126,multi_pure,46,2023,0.5148485827166899
46812,0.11779031017687773,0.6551208970749031,0.19127082754057584,0.14333410158872675,0.18296187496008684,0.5195865070729053,0.2706276862041279,0.670105955737845,0.33450824574895327,multi_pure,46,2024,0.5148485827166899
51187,0.14722488131752204,0.6385454785985598,0.21953463868285394,0.11467647549807662,0.24159900062460962,0.25663481953290873,0.24889003281642108,0.771953816398695,0.15638736397913533,multi_xs,42,2022,0.538630406844576
53162,0.12627440653098077,0.6645538656502007,0.21490443155097,0.15189228095592466,0.20999858777008898,0.44302100402204675,0.28493413173652693,0.719216733757195,0.26639328843911064,multi_xs,42,2023,0.538630406844576
46812,0.11779031017687773,0.6536096056910456,0.18623425133125165,0.13530388804182236,0.19240124129833094,0.41603191875226697,0.263118655732064,0.7255190976672649,0.2546996496624797,multi_xs,42,2024,0.538630406844576
51187,0.14722488131752204,0.6397271774854215,0.21719993477546007,0.10856047615294934,0.23858329008822002,0.24402866242038215,0.24127525583836262,0.7740441909078477,0.1505851095004591,multi_xs,43,2022,0.5324423288501624
53162,0.12627440653098077,0.6692516141538134,0.21305269270998886,0.1536166137941929,0.21274581209031318,0.4351258751675853,0.2857701902851832,0.725348933448704,0.25826718332643617,multi_xs,43,2023,0.5324423288501624
46812,0.11779031017687773,0.6539398333121755,0.18118485330407985,0.13499884448213986,0.19468169410935987,0.4009793253536453,0.2621065734099935,0.7340639152354097,0.24260873280355463,multi_xs,43,2024,0.5324423288501624
51187,0.14722488131752204,0.6040200944730449,0.20098143722379952,0.09552100402083305,0.21048011937154393,0.3182059447983015,0.25336784827513337,0.7238947388985485,0.2225760446988493,multi_xs,44,2022,0.5430580274970036
53162,0.12627440653098077,0.6452613645375836,0.19490571325744338,0.14134520276318585,0.19586264958806904,0.4851780128109638,0.27906777482649303,0.683458109175727,0.3127986155524623,multi_xs,44,2023,0.5430580274970036
46812,0.11779031017687773,0.6416336994559197,0.1710238704110576,0.1290907761825317,0.18055264078349073,0.46808124773304316,0.26058862133373717,0.6871101426984534,0.3053704178415791,multi_xs,44,2024,0.5430580274970036
51187,0.14722488131752204,0.5988593886288078,0.18967522214704083,0.09534326460406539,0.194649178805641,0.4450636942675159,0.2708442685831954,0.6471955770019732,0.3366284408150507,multi_xs,45,2022,0.4877808871072869
