ablation,year,strat_sharpe,bench_sharpe,strat_return,bench_return,strat_maxdd,bench_maxdd,sharpe_diff,maxdd_improvement
fund_pure_only,2022,-0.24675981022579205,-0.23387854639882116,-0.07623702915909877,-0.07369106635465661,-0.20812704954080555,-0.20961300563340787,-0.012881263826970885,0.0014859560926023252
fund_pure_only,2023,1.3568663191723884,1.3580682551911365,0.5610144211859105,0.5590307865697157,-0.136354530429168,-0.13513818398402086,-0.0012019360187480732,-0.0012163464451471484
fund_pure_only,2024,1.559520897129612,1.552493814857697,0.24967844803286304,0.24850459019718296,-0.06077513883801237,-0.06071139961174572,0.007027082271914953,-6.373922626664447e-05
fund_xs_only,2022,-0.25436909303858524,-0.23387854639882116,-0.07414250504117563,-0.07369106635465661,-0.21578532320282506,-0.20961300563340787,-0.020490546639764073,-0.0061723175694171906
fund_xs_only,2023,1.2520088084742813,1.3580682551911365,1.0860711339060292,0.5590307865697157,-0.12820064689750416,-0.13513818398402086,-0.10605944671685519,0.006937537086516704
fund_xs_only,2024,1.2675444574186563,1.552493814857697,0.17566034747222387,0.24850459019718296,-0.06477842580378075,-0.06071139961174572,-0.2849493574390407,-0.004067026192035028
macro_only,2022,-0.17783650504036908,-0.23387854639882116,-0.059865160117332894,-0.07369106635465661,-0.21088406458619224,-0.20961300563340787,0.05604204135845209,-0.0012710589527843708
macro_only,2023,1.2292689147538465,1.3580682551911365,0.4854990200453919,0.5590307865697157,-0.13226097498353256,-0.13513818398402086,-0.12879934043729002,0.0028772090004882955
macro_only,2024,1.497093360863539,1.552493814857697,0.22135766105444654,0.24850459019718296,-0.061953390461891446,-0.06071139961174572,-0.05540045399415794,-0.001241990850145723
multi_pure,2022,-0.2628716993188651,-0.23387854639882116,-0.07965798489619183,-0.07369106635465661,-0.2186050507450743,-0.20961300563340787,-0.028993152920043952,-0.00899204511166643
multi_pure,2023,1.0469750225349812,1.3580682551911365,0.17507062259954642,0.5590307865697157,-0.12635146001387243,-0.13513818398402086,-0.3110932326561553,0.00878672397014843
multi_pure,2024,1.0421568135895476,1.552493814857697,0.13767328009256685,0.24850459019718296,-0.062374215540431356,-0.06071139961174572,-0.5103370012681494,-0.0016628159286856334
multi_xs,2022,-0.25272863795777456,-0.23387854639882116,-0.07826365101513313,-0.07369106635465661,-0.2208388861933685,-0.20961300563340787,-0.018850091558953397,-0.011225880559960627
multi_xs,2023,1.1108589107592037,1.3580682551911365,0.3095364047453891,0.5590307865697157,-0.13003881837277423,-0.13513818398402086,-0.24720934443193276,0.005099365611246631
multi_xs,2024,1.0418212185051126,1.552493814857697,0.14850112171541102,0.24850459019718296,-0.06331504530839036,-0.06071139961174572,-0.5106725963525844,-0.0026036456966446325
