strategy,total_return,cagr,ann_vol,sharpe,sortino,max_drawdown,calmar,n_days,mode,turnover,avg_invested,avg_cash
multi_text_seed42__renorm,0.28746365004742724,0.09341319702520212,0.19816650540079564,0.5491004106247583,0.9181083387913312,-0.21435220005614505,0.43579304061602586,713,renorm,0.41689092978900544,1.0,0.0
multi_text_seed42__cash,0.23216723836213338,0.07657908347948528,0.15842673703401597,0.5445435919497068,0.9117241920169699,-0.17426442958562885,0.4394418508790193,713,cash,0.3335408786730298,0.7998708802024261,0.20000000000000004
multi_text_seed42__timing,0.17887059048897846,0.05988493094129854,0.1743353785437146,0.4205878883918368,0.6473516027733962,-0.22185525206631915,0.26992793897616246,713,timing,0.47774252185989624,0.8700416953977097,0.12947916801367748
multi_text_seed42__timing_oracle,0.42846843373210075,0.13432339919957825,0.18760952144900392,0.7650207591468248,1.285142642667898,-0.1982680007828137,0.6774840048279828,713,timing_oracle,0.4563157137109069,0.9267045725538908,0.0715752937285646
multi_text_seed43__renorm,0.18091097283905877,0.06053292692357681,0.18946457995447072,0.40478914853331266,0.6414918940139466,-0.22023973719289502,0.2748501596265509,713,renorm,0.40872396951670914,1.0,0.0
multi_text_seed43__cash,0.14877238291443717,0.050240762520807,0.15133946594123637,0.39946720161813715,0.6334680140304874,-0.17916528553925481,0.2804157198733643,713,cash,0.32721388065654383,0.7999091218930026,0.20000000000000004
multi_text_seed43__timing,0.12671460962324477,0.04306870664007145,0.1736127102328998,0.32964173039094813,0.49708366741705795,-0.2292261575110037,0.18788739953468878,713,timing,0.4754296660604748,0.8921808765151781,0.10731967248092952
multi_text_seed43__timing_oracle,0.3159790683790593,0.10191198095770648,0.17820335955945335,0.6336045535114877,1.004638104658623,-0.20395688011947255,0.49967415121279135,713,timing_oracle,0.4529106835878483,0.9266672468280176,0.0715752937285646
multi_text_seed44__renorm,0.17866428321561667,0.05981937037344731,0.18903636441995628,0.40170002018848555,0.638726114993541,-0.21454736329452953,0.27881661864717294,713,renorm,0.4113457760253503,1.0,0.0
multi_text_seed44__cash,0.14673529036412258,0.04958215635229046,0.15099933405261742,0.3958614995156769,0.6297900666560962,-0.1743966044012916,0.28430689073624676,713,cash,0.3292265281376042,0.799917802546317,0.20000000000000004
multi_text_seed44__timing,0.1304909195600057,0.04430296954753321,0.17234127553395637,0.33766114577109746,0.5134305416096476,-0.2232476819513381,0.19844761280518045,713,timing,0.4702737588856146,0.8942258026855621,0.10531475891916763
multi_text_seed44__timing_oracle,0.30935613207380874,0.09994876767633709,0.17786181269857118,0.6244349003566033,0.9938064785952756,-0.1979354279296789,0.5049564331244742,713,timing_oracle,0.45278038523547415,0.9267051266632854,0.0715752937285646
multi_text_seed45__renorm,0.17067341235607603,0.057274291689751955,0.189768538607284,0.38821360592202103,0.6148636257944312,-0.2305560590676872,0.24841807203573527,713,renorm,0.41960568164048734,1.0,0.0
multi_text_seed45__cash,0.14081138234258184,0.04766260682452783,0.15154922754700234,0.38289569992557154,0.6068427422979373,-0.18781837325804934,0.25376967118676264,713,cash,0.3358492788693351,0.7998302443118542,0.20000000000000004
multi_text_seed45__timing,0.10143423741601998,0.03473628250195371,0.17301685650833742,0.2838272617677947,0.4269739965998961,-0.23704540373078245,0.14653851943657364,713,timing,0.4823385298973821,0.8919700657918658,0.10766171256999846
multi_text_seed45__timing_oracle,0.30623128795042454,0.09902025161418604,0.17869612492264564,0.6176299977315778,0.9770748904764782,-0.21359951853881487,0.46357900191704915,713,timing_oracle,0.4620792784815697,0.9266391634513104,0.0715752937285646
multi_text_seed46__renorm,0.2350533749111503,0.07746966894367757,0.18917145898612112,0.488898134922506,0.7743457421938932,-0.22168680175870767,0.3494554855277244,713,renorm,0.40901963072460273,1.0,0.0
multi_text_seed46__cash,0.19074906764742905,0.06364724602002991,0.1510975754426242,0.4838304861565626,0.7669068431738812,-0.1803015665178399,0.35300439840456044,713,cash,0.3274145584383644,0.7999858164269861,0.20000000000000004
multi_text_seed46__timing,0.17379917276458934,0.05827117454477637,0.17230566684367823,0.41482991901732746,0.6214131482478892,-0.23029256943834783,0.2530310669028177,713,timing,0.4722563931685402,0.8848400338252204,0.11460209095499883
multi_text_seed46__timing_oracle,0.37098972886814807,0.11797693908738704,0.17802546808622702,0.7153944209852188,1.1327496894728253,-0.2048405918738958,0.5759451191198283,713,timing_oracle,0.45182735730414475,0.9267101288145603,0.0715752937285646
multi_text_seed47__renorm,0.1740602173447645,0.05835435046957427,0.18849737688031498,0.39497563323081264,0.6273520506377696,-0.22311755519148715,0.26154082953935454,713,renorm,0.3937897819031597,1.0,0.0
multi_text_seed47__cash,0.1430964917817128,0.04840382251229536,0.1505604992448692,0.38911772540746986,0.6184326467584063,-0.18156459293218563,0.266592851230494,713,cash,0.31519393232956067,0.799875648207229,0.20000000000000004
multi_text_seed47__timing,0.09795992994139047,0.03358151706095347,0.17035916349352573,0.2790465508037559,0.4182493730182984,-0.23531128253610487,0.14271103662783746,713,timing,0.4665009091595034,0.8824347549371576,0.11726807733307248
multi_text_seed47__timing_oracle,0.30670780617569116,0.09916193695807363,0.1773455123539386,0.6217031213411595,0.9875333845859033,-0.2061712043281302,0.4809688980632485,713,timing_oracle,0.4384388251934869,0.9266857561887892,0.0715752937285646
multi_text_seed48__renorm,0.24266298342347792,0.07981136031960223,0.1899405255380032,0.49907452719081946,0.7916766463532076,-0.2173967470766419,0.3671230659742357,713,renorm,0.39113215261250067,1.0,0.0
multi_text_seed48__cash,0.19667575894524436,0.06551535936449238,0.15169046117311005,0.4940739143637558,0.7842581208328824,-0.17671242292988049,0.37074563450747816,713,cash,0.3131025958190943,0.7999887736063714,0.20000000000000004
multi_text_seed48__timing,0.1642063427142677,0.05520630504564661,0.17191202940233208,0.39849449997476505,0.6009058069843013,-0.2264754457653828,0.24376287177214598,713,timing,0.4619899929197082,0.8872595465352655,0.11239116622028836
multi_text_seed48__timing_oracle,0.38080537926812696,0.12079938947472679,0.17902905990462567,0.7264261949955751,1.1540270386276812,-0.20091650021287763,0.6012417563850448,713,timing_oracle,0.43737762925213675,0.9266897504367381,0.0715752937285646
multi_text_seed49__renorm,0.1819585150609324,0.06086533000859129,0.1876134437581473,0.40858008129191986,0.6506627289079323,-0.21660653889736245,0.28099488740472384,713,renorm,0.38749531457439923,1.0,0.0
multi_text_seed49__cash,0.1494522744920761,0.050460408107203314,0.14986486807053792,0.4033035255912416,0.6426352709101381,-0.17612284838170217,0.28650688182059725,713,cash,0.3102107559894918,0.7998775333425581,0.20000000000000004
multi_text_seed49__timing,0.11596149125492583,0.03953940035581982,0.16831501072652802,0.3145374460909323,0.47409106639376525,-0.21919383666884815,0.18038554804601933,713,timing,0.4591583121242226,0.8841263934598198,0.11539321633530886
multi_text_seed49__timing_oracle,0.31582446068047165,0.10186622406276502,0.17657062022604222,0.6375743339016379,1.016803523301596,-0.20016302806081424,0.508916282140854,713,timing_oracle,0.4325856485892405,0.9266891797303202,0.0715752937285646
multi_text_seed50__renorm,0.2835603181462656,0.09224040233502317,0.19274170918469583,0.5539903057231615,0.8812947978480743,-0.22282260294039322,0.4139634001120533,713,renorm,0.42497062386946477,1.0,0.0
multi_text_seed50__cash,0.228204465886368,0.07535407658909321,0.1539568424170614,0.5487612581722461,0.8732889402863035,-0.18129294373302257,0.41564814954994544,713,cash,0.340139387692959,0.8000222429908265,0.20000000000000004
multi_text_seed50__timing,0.18914831313402924,0.06314165196720456,0.17524720304249528,0.4369664927084304,0.6607098853241105,-0.23167805761365556,0.27254049268877706,713,timing,0.4846265882776646,0.8933017083721393,0.10652968399911819
multi_text_seed50__timing_oracle,0.42112846056884456,0.13225994616771275,0.18170835983669142,0.774385025625655,1.2284066266380476,-0.2060106773651338,0.6420052972948336,713,timing_oracle,0.4662982600463306,0.9267170995204342,0.0715752937285646
multi_text_seed51__renorm,0.2409505123877973,0.07928519483091745,0.19059079416543587,0.4954579504960651,0.7954194758819246,-0.22108119755218977,0.3586247754615175,713,renorm,0.4195578576069374,1.0,0.0
multi_text_seed51__cash,0.1954156319753697,0.06511866462384996,0.15222707590095785,0.4904179030557818,0.7878245771761733,-0.17980577255601038,0.3621611458751425,713,cash,0.3357429379453587,0.7999806551979817,0.20000000000000004
multi_text_seed51__timing,0.19694381529815752,0.0655997101030017,0.17332486127833935,0.45317662062073594,0.6941012806057995,-0.22928840561414215,0.2861012964318664,713,timing,0.4756835742129881,0.885332490265746,0.11405336272451588
multi_text_seed51__timing_oracle,0.3805330073358628,0.12072124532412509,0.17950237576648992,0.7245859073860784,1.1658324106587314,-0.20444092622719776,0.5904945137548735,713,timing_oracle,0.4612693525083199,0.9266989113941779,0.0715752937285646
multi_text_seed52__renorm,0.3422817917374865,0.10964635076447404,0.19891286827111052,0.6218787822950715,1.0375861097675174,-0.21719275789692444,0.5048342855727728,713,renorm,0.42390294777520765,1.0,0.0
multi_text_seed52__cash,0.2746607181914058,0.08955777998235304,0.15901112750741847,0.6184958849827938,1.0337214152344214,-0.1764818441883901,0.5074617187632755,713,cash,0.3390975832657475,0.7999884484625258,0.20000000000000004
multi_text_seed52__timing,0.2704939577890555,0.08829762274005626,0.17669845619198205,0.5669031343025122,0.8885322452125948,-0.22063112537482552,0.40020474259943745,713,timing,0.4609401335984901,0.8708312750182138,0.12819823886870385
multi_text_seed52__timing_oracle,0.4914687936416209,0.1517587764095032,0.18835368208482892,0.843747355487781,1.4144601100670173,-0.2007154645373916,0.7560891073305007,713,timing_oracle,0.4625228299890082,0.9267042175884485,0.0715752937285646
