strategy,total_return,cagr,ann_vol,sharpe,sortino,max_drawdown,calmar,n_days,cost_bps,turnover,avg_invested,grp
buy_hold_true,0.11755641694756136,0.038950086504202286,0.17801719603173774,0.3035460961684145,0.48005852735142385,-0.21629020084231532,0.1800825296408067,733,10,0.9999999999999998,1.001043434494659,buy_hold_true
equal_weight_rebal,0.543253146504383,0.16086926014244152,0.24714295420027232,0.7189837571387224,1.5696566362969049,-0.2228764561050762,0.7217866927433507,733,10,0.10961739152173876,1.0001114208455046,equal_weight_rebal
multi_pure_seed43,0.266205917675588,0.08452667045493478,0.19041295610762257,0.5211760563003864,0.8311157171454279,-0.22796049539816562,0.37079525690316145,733,10,0.4040462993938935,0.9731076430646737,multi_pure
multi_pure_seed44,0.17734946600970836,0.05773469778268647,0.18670222856803217,0.39384059579440595,0.6168650500447687,-0.2263898964703953,0.25502329689980824,733,10,0.39607494837374996,0.9731005336491612,multi_pure
multi_pure_seed45,0.1904666395640311,0.061771406849129074,0.18660919489375807,0.4143533812460018,0.6525123821439198,-0.22300418453560591,0.2769966266676326,733,10,0.39867510270116596,0.9731026652602695,multi_pure
multi_pure_seed46,0.27335676417250276,0.08662844897859756,0.18912288627439608,0.5336711909921303,0.8480635842106714,-0.22753234280538864,0.3807302641483896,733,10,0.38786951653981216,0.9730917795840662,multi_pure
multi_pure_seed47,0.17434457855188246,0.05680581657481465,0.18753069966554495,0.3882458999881221,0.6101520099656883,-0.2316954519856224,0.24517449992216364,733,10,0.39621098350175116,0.9731008128723454,multi_pure
multi_pure_seed48,0.20686877528788972,0.06677817999252844,0.1871321247895143,0.4388686020157718,0.6890125491529185,-0.2376645018084638,0.2809766687258396,733,10,0.4056473902564387,0.9731092682107242,multi_pure
multi_pure_seed49,0.23897820757773158,0.0764518372444587,0.1879334205854559,0.48583226090702564,0.7627271006780958,-0.22378760089824853,0.341626778863498,733,10,0.39579043145333626,0.973100009792207,multi_pure
multi_pure_seed50,0.21451721119991896,0.0690976162484267,0.18802603435689563,0.449217134726785,0.7061293468591884,-0.22544725824813128,0.30649126889082245,733,10,0.41444131224269243,0.9731182502781947,multi_pure
multi_pure_seed51,0.20366458567610546,0.06580362230333137,0.18869321468511027,0.43192641161055445,0.6817986985688296,-0.23057958716464394,0.28538355503405727,733,10,0.39476883235224963,0.9730992749609005,multi_pure
multi_pure_seed52,0.246136225200414,0.07858585912595895,0.18775236743228194,0.4966731238116606,0.7781093773740001,-0.22577250064627508,0.34807542504515154,733,10,0.38516305303978515,0.973089689286278,multi_pure
naive_vol,0.01704301988140089,0.005826805219398379,0.17212655691824566,0.11967788907574917,0.19149126049528867,-0.23003085007358556,0.025330538132317542,733,10,0.2792254322499882,1.0002803548450565,naive_vol
inv_vol,0.7499162863202558,0.21212538954942106,0.3100380988380486,0.7613843122624845,1.7853415609015364,-0.250367115788382,0.8472573919360719,733,10,0.3502820210404606,1.0003527655500535,inv_vol
oracle,1.9411030757139245,0.4490066240747128,0.2923426331437213,1.4006250918472087,3.515487411433562,-0.15303677544248329,2.9339785994345235,733,10,0.3884656151030842,1.0003878548678131,oracle
buy_hold_true,0.11605641694756264,0.038470458636562954,0.17831073714656848,0.30074904301781036,0.4759162665237191,-0.21661005764921154,0.17760236553218509,733,25,0.9999999999999998,1.0026126991652877,buy_hold_true
equal_weight_rebal,0.5337450329892786,0.1584053941360002,0.24718579248579944,0.7103012355482089,1.550653757051615,-0.22374310172409365,0.7079788959542362,733,25,0.10962877794127338,1.000278733480442,equal_weight_rebal
multi_pure_seed43,0.23901184853364033,0.07646188552983313,0.19058611764959038,0.48170146429093647,0.7688617806383438,-0.2309629736503258,0.33105689765492535,733,25,0.40413839542225843,0.9736976626359195,multi_pure
multi_pure_seed44,0.1525063250303571,0.050007783528562166,0.18688629501152446,0.35439701180273725,0.5556310414936582,-0.2289124881492289,0.2184580838418999,733,25,0.3961805452916647,0.9736799043293216,multi_pure
multi_pure_seed45,0.165229878721739,0.053978672784966264,0.18679079332197082,0.37468709464843497,0.5907117907258705,-0.226050923404498,0.23878987960768572,733,25,0.39877540003146494,0.9736852211106212,multi_pure
multi_pure_seed46,0.2471188960049968,0.07887819457916745,0.189302125046202,0.49552140052036897,0.7882189686761385,-0.23021091814854244,0.3426344641407133,733,25,0.3879633874945102,0.9736579651629692,multi_pure
multi_pure_seed47,0.14954005413804516,0.04907791042098153,0.1877135122747765,0.34894426853025035,0.5490864178605691,-0.2346356955775114,0.2091664284080286,733,25,0.3963141609837979,0.9736805975570904,multi_pure
multi_pure_seed48,0.18083986625243575,0.058811711416902,0.18732661512100404,0.3985838380295784,0.6269474810810585,-0.24070638186153304,0.24432967236711484,733,25,0.40575906539810264,0.9737017767640166,multi_pure
multi_pure_seed49,0.21289844337438546,0.06860751609526217,0.1880888968640147,0.4466913217818102,0.7026031285732901,-0.2262844593029054,0.3031914622268595,733,25,0.39588842821041564,0.9736785721561295,multi_pure
multi_pure_seed50,0.18774047614789735,0.06093486273522197,0.18820535255378412,0.40823492407592454,0.6428314025109395,-0.22819051919210032,0.26703503261642725,733,25,0.4145475047189765,0.9737242493264789,multi_pure
multi_pure_seed51,0.17835078866261855,0.058043884492757325,0.18885361321744004,0.3930190609649253,0.6210224560390685,-0.23363341215491126,0.2484399981894335,733,25,0.3948606917600835,0.973676719075048,multi_pure
multi_pure_seed52,0.22059922520438535,0.07093519295849182,0.1879043212389161,0.458529973153672,0.7188701555763569,-0.22852409275545138,0.3104057524227921,733,25,0.38525230275483824,0.9736527205552089,multi_pure
naive_vol,0.001329799525212616,0.0004569759553489927,0.17223019073508233,0.08862925327176993,0.14188605167911897,-0.23260391649339435,0.001964609892378877,733,25,0.27928312229811914,1.0007013920114238,naive_vol
inv_vol,0.7163004135364381,0.2040692095067329,0.3102111506943775,0.7396088755159453,1.7334170495191261,-0.2536840270168799,0.8044227770523145,733,25,0.35033858943478846,1.0008825993892043,inv_vol
oracle,1.8790537651776993,0.43842323429788865,0.2924090690935425,1.3752685592214586,3.448462213332607,-0.15426260399397962,2.842057782941347,733,25,0.3885259666935642,1.0009704663934196,oracle
buy_hold_true,0.11355641694756846,0.03767013795405516,0.17881164242904604,0.29609343257135134,0.4689074547611835,-0.21714525980788904,0.17347897894424394,733,50,0.9999999999999998,1.0052391662223656,buy_hold_true
equal_weight_rebal,0.5180113611309818,0.15430617008323222,0.24726696361323197,0.6958041656029019,1.5176575889842976,-0.22518761037393237,0.6852338360312147,733,50,0.10965087877474643,1.0005580890448982,equal_weight_rebal
multi_pure_seed43,0.19491470383728204,0.06313363475508371,0.19092944946174245,0.4159096286663591,0.6651462766345807,-0.23594902286920835,0.2675731985975634,733,50,0.4043005200960574,0.9746833719223088,multi_pure
multi_pure_seed44,0.11219738429987247,0.03723457840686262,0.18724710284500673,0.2886996044321784,0.45342896205690764,-0.2331052635930076,0.15973289419956083,733,50,0.3963637055810654,0.9746478992344282,multi_pure
multi_pure_seed45,0.12428931332090754,0.04109775500672952,0.18714783936524332,0.30861325680605145,0.48752552494718193,-0.23111019551617273,0.17782752904924767,733,50,0.39895093596490605,0.974658497933375,multi_pure
multi_pure_seed46,0.20452198536280886,0.06606456798970561,0.1896521898943607,0.43194112096265863,0.6883267189795139,-0.23466095853803656,0.28153199578359817,733,50,0.38812545897795614,0.9746038330122395,multi_pure
multi_pure_seed47,0.10929515131751977,0.03630326433551456,0.18807211151188305,0.28348353931467823,0.44720278427765464,-0.23951882500359464,0.15156747840162346,733,50,0.3964949726888751,0.9746492775123434,multi_pure
multi_pure_seed48,0.13863180454922386,0.04564476320110589,0.187706648098629,0.33147909294663264,0.5226428377834818,-0.24575778816176636,0.18573068850644486,733,50,0.40595585899579256,0.9746917816620976,multi_pure
multi_pure_seed49,0.17058210696079046,0.05564054662780071,0.18840163896672815,0.3814477163400409,0.6014381810221316,-0.23043437974769565,0.24145939806691158,733,50,0.3960601306786578,0.9746451651133636,multi_pure
multi_pure_seed50,0.1443501584169289,0.04744717581920588,0.18856242517321556,0.3399528219648391,0.5361067505949352,-0.2327483205784579,0.20385614685117245,733,50,0.4147308195907435,0.9747367640124822,multi_pure
multi_pure_seed51,0.13727751530756538,0.04521702463308164,0.18917400751645333,0.32818633544733017,0.519525001345008,-0.2387041802001816,0.18942703305472836,733,50,0.3950235575834518,0.974641412720309,multi_pure
multi_pure_seed52,0.1791347835140591,0.058285844773717566,0.18820863947398847,0.39494795131072274,0.6198709672309584,-0.23327590081106903,0.24985797748959707,733,50,0.3854089386369019,0.9745932914414394,multi_pure
naive_vol,-0.024353677939885854,-0.008440431003897242,0.17243642268463788,0.03692626140099836,0.059179739770160944,-0.23687988166879365,-0.035631692081384454,733,50,0.27938510148807744,1.0014045000422866,naive_vol
inv_vol,0.6616337318771601,0.19074402636471577,0.3105278707872759,0.7032900932552101,1.6441944439268652,-0.25918764853454535,0.7359302321819274,733,50,0.35043743511765035,1.0017675114225926,inv_vol
oracle,1.7783952347977645,0.4209314165043776,0.2925579771353191,1.3328403590838187,3.335930923158621,-0.15630477227036946,2.6930170486174796,733,50,0.38863518841098943,1.001943746837282,oracle
