cell,n_features,cv_pr_auc,max_depth,learning_rate,n_estimators,subsample,colsample_bytree,gamma,min_child_weight,reg_alpha,reg_lambda,scale_pos_weight
I,32,0.19530935169622882,2,0.03288019195084083,800,0.46457531122704426,0.7334753652647318,3.4758097567935025,4,0.004168052762575028,0.0011942164664539574,2.171876920410711
II,6,0.13535265641931912,2,0.005947274793308803,200,0.7874343580993197,0.5719991343795097,1.860167993762449,2,0.00015471404237605242,3.3516196481255407,8.784790322571897
III,9,0.13721910923986752,5,0.05608764266709788,200,0.7597622298913798,0.44169678478859636,0.1460275899286949,2,1.9142349745599119,0.21756397587677564,1.7049695595150065
I+II,38,0.19786074684496216,2,0.028033734147592783,1400,0.5955208135199588,0.44567488137109235,2.2202008969453866,10,0.0022946843038714423,0.45158774502918786,2.373253400862086
I+III,41,0.1833635471187203,4,0.037558444324413395,1500,0.5143560989648701,0.4983779074489346,2.0955447964708154,7,0.00019457976158291447,0.1899778152370954,1.5080355941557664
II+III,15,0.13976314980698792,3,0.016344838971510314,1900,0.6932002066889834,0.7268244455589584,1.8269434496984682,1,0.08964893820255808,0.0007402534721168409,1.9471982963877559
I+II+III,47,0.18471484458563764,6,0.009104499060962768,2000,0.597111136742079,0.42257005390500635,1.618917248542365,1,0.1601661559393403,0.24888852603008677,1.0092376931037408
I+II-xs,44,0.19861177120994095,5,0.010175706674502101,900,0.46921785962862606,0.5688446936526684,1.0652865568970418,7,0.0001343852313059607,0.00013956493785756283,1.2910405890558216
