variant,n_features,groups,threshold,val_roc_auc,val_pr_auc,val_accuracy,val_mcc,val_precision,val_recall,val_f1,test_roc_auc,test_pr_auc,test_accuracy,test_mcc,test_precision,test_recall,test_f1,minutes
all,51,tech+fund+macro+interact,0.240205992622407,0.7109078835103521,0.30271685217285016,0.8026542062568396,0.25222974407432397,0.31995458135860977,0.42008037334716103,0.36324403093823565,0.6363473715747574,0.19620143285650815,0.7262359369977499,0.11735158718194727,0.20461056159126534,0.36532522679019497,0.2623081453764335,30.1
tech_fund,38,tech+fund,0.3295806295556767,0.641430431502589,0.21714756593390044,0.6852646389549931,0.16360442407422332,0.21564822912111936,0.5114726471350791,0.3033833141099577,0.6409257745397255,0.20126881119892598,0.6255801992928319,0.13277016175654488,0.189803714054206,0.5538506079907354,0.2827198049189009,18.1
