strategy,total_return,cagr,ann_vol,sharpe,sortino,max_drawdown,calmar,n_days,cost_bps,turnover,avg_invested,grp
buy_hold_true,0.11743897796959746,0.03891255041428354,0.17782581144998333,0.30347841153731975,0.4799513859197142,-0.21607748725038922,0.18008609276908114,733,10,0.999000999001,1.0,buy_hold_true
equal_weight_rebal,0.5433501041136624,0.1608943336823503,0.24712084089159392,0.7191148478101987,1.5700099537374428,-0.22282196297337845,0.7220757394618817,733,10,0.10956597112059807,1.0,equal_weight_rebal
multi_pure_seed43,0.26610231539121787,0.08449616247482172,0.1903357373771543,0.5211626796805934,0.8310807710966956,-0.22787803423247513,0.3707955563133434,733,10,0.4038686531931945,0.9727148703956344,multi_pure
multi_pure_seed44,0.17728870917475503,0.05771593183845414,0.18662831133699162,0.39382775248285545,0.6168323188111555,-0.22631179552837138,0.25502838552318685,733,10,0.3959030483599537,0.9727148703956344,multi_pure
multi_pure_seed45,0.19037369487810696,0.06174290677091765,0.18653448793705865,0.41430089047432456,0.6524135122751392,-0.2229333583604695,0.27695678755748687,733,10,0.39850385510505204,0.9727148703956344,multi_pure
multi_pure_seed46,0.2732386470282884,0.08659379495282371,0.1890510662888169,0.5336336066725139,0.8479814898751594,-0.22746176808502847,0.38069604260023915,733,10,0.3877045286815171,0.9727148703956344,multi_pure
multi_pure_seed47,0.1742952384364571,0.05679055137961808,0.18745702725789404,0.38824790291256844,0.6101411759518106,-0.23161598586005477,0.24519271054948527,733,10,0.3960387981372182,0.9727148703956344,multi_pure
multi_pure_seed48,0.20677346526425855,0.06674921586375304,0.18705676328530252,0.43882504971910674,0.6889273393232624,-0.23758578849216744,0.28094784745912355,733,10,0.4054688235747632,0.9727148703956344,multi_pure
multi_pure_seed49,0.2388841719034034,0.07642374858839562,0.1878593567433153,0.4858109775974884,0.7626783048140429,-0.2237122532857332,0.3416162837123835,733,10,0.39561867763748615,0.9727148703956344,multi_pure
multi_pure_seed50,0.21443411079950092,0.06907246710949022,0.18794922946212317,0.4491988661451246,0.7060875958688269,-0.22536789318038178,0.3064876107006309,733,10,0.4142552639390301,0.9727148703956344,multi_pure
multi_pure_seed51,0.20360243896965757,0.06578470349619048,0.18861782491571205,0.4319296921974638,0.6817983479673956,-0.23049670370182523,0.28540409662990573,733,10,0.3945991763547945,0.9727148703956344,multi_pure
multi_pure_seed52,0.24604718785443924,0.07855936386784279,0.1876808356625846,0.49666012788698866,0.7780743528848255,-0.22569923539068537,0.34807102350992253,733,10,0.3850002604355228,0.9727148703956344,multi_pure
naive_vol,0.01708662341942535,0.005841630266049114,0.17208000535887175,0.11974940205979755,0.19160576713641164,-0.22994963844958896,0.025403954993952964,733,10,0.27912699625099424,1.0,naive_vol
inv_vol,0.7498527546265783,0.21211026012354806,0.3099386245187323,0.7615006366008172,1.78569121143355,-0.2502640623847349,0.8475458206119406,733,10,0.35012918473887156,1.0,inv_vol
oracle,1.9406142704503155,0.448923826760524,0.29227350278488057,1.400696255420943,3.5163847014209635,-0.15298262131168283,2.9344759745350304,733,10,0.38827545739225355,1.0,oracle
buy_hold_true,0.11576699944893765,0.038377868163066875,0.17783148179219366,0.300578981839241,0.4756469771626242,-0.21607748725039044,0.17761159966931042,733,25,0.9975062344139651,1.0,buy_hold_true
