date,mean,count
2010,0.07421403128387796,96855
2011,0.13355978711868907,90379
2012,0.10252632079283219,84154
2013,0.08431546957230747,80946
2014,0.1638090883690213,78738
2015,0.16802784662684708,73833
2016,0.10737165161943923,67122
2017,0.11526416966389681,64504
2018,0.18604953943299807,61446
2019,0.11825809699614029,59590
2020,0.17281266307183857,57490
2021,0.09528517901748543,57648
2022,0.15304670473171347,55519
2023,0.12627440653098077,53162
2024,0.11764705882352941,46869
