strategy,total_return,cagr,ann_vol,sharpe,sortino,max_drawdown,calmar,n_days,cost_bps,avg_turnover,exposure,period
buy_hold,0.7013003648561591,0.2004409613584941,0.2733940624573054,0.7918551903042745,1.9189150244052944,-0.2120655065818283,0.945184177235119,733,10,0.01351351351351351,1.0,ALL
buy_hold,-0.1259502350603332,-0.1264188854748235,0.23316848824720376,-0.46333907563946536,-0.7649766948020835,-0.2120655065818283,-0.5961312969398118,251,10,0.01351351351351351,1.0,2022
buy_hold,0.5590307865697157,0.5645791157823927,0.37348064835135236,1.3580682551911365,6.107030902912301,-0.13513818398402086,4.177791199629782,250,10,0.01351351351351351,1.0,2023
buy_hold,0.24850459019718296,0.2726226207664295,0.1638078512392956,1.552493814857697,3.130531047744303,-0.06071139961174572,4.490468388307189,232,10,0.01351351351351351,1.0,2024
model_seed42,0.4013370659553601,0.12300132725161239,0.20301979014271293,0.6717248383829673,1.1505672998658163,-0.2038508863468293,0.603388729163235,733,10,0.1818030056555609,0.9727148703956344,ALL
model_seed42,-0.07431029136237266,-0.07459502139206509,0.23459603049707528,-0.21351778624486617,-0.3308892788475079,-0.2038508863468293,-0.3659293453605596,251,10,0.1818030056555609,0.9727148703956344,2022
model_seed42,0.21010266378511644,0.21195025579297222,0.17222888594052316,1.201593581212971,2.3644006844676553,-0.13973332745127373,1.516819642521439,250,10,0.1818030056555609,0.9727148703956344,2023
model_seed42,0.25099322300361515,0.27537824605901307,0.1970770838546693,1.3297165280214078,2.881719328747511,-0.06938242279825024,3.9689914960127024,232,10,0.1818030056555609,0.9727148703956344,2024
model_seed43,0.25144124808293067,0.08016226268850257,0.18921479377858774,0.5018994130814134,0.7953214959740164,-0.21053843291637728,0.38074883325621517,733,10,0.1799159792705009,0.9727148703956344,ALL
model_seed43,-0.07406460568036433,-0.07434843262305035,0.23267631401563477,-0.21599852483084617,-0.33017072031752814,-0.21053843291637728,-0.35313472981239696,251,10,0.1799159792705009,0.9727148703956344,2022
model_seed43,0.23328204216739468,0.23535252442510468,0.17599591234723172,1.288299215206153,2.523484011479783,-0.14126614165843712,1.6660221739060164,250,10,0.1799159792705009,0.9727148703956344,2023
model_seed43,0.09589102980903297,0.1045759774226227,0.14596393395577245,0.754245835140069,1.2045889418357951,-0.06865357855736469,1.5232414627191273,232,10,0.1799159792705009,0.9727148703956344,2024
model_seed44,0.24268592392110322,0.07755822682407931,0.18903370459833313,0.4894083673120061,0.7792203482860962,-0.20477511460329034,0.3787483013955696,733,10,0.18161354221292292,0.9727148703956344,ALL
model_seed44,-0.06804690193508489,-0.06830852789262487,0.23170711944894748,-0.18982938914768852,-0.2922807510205633,-0.20477511460329034,-0.33357826718817174,251,10,0.18161354221292292,0.9727148703956344,2022
model_seed44,0.19041104344678517,0.1920720976739494,0.17533886404856533,1.0889127210334275,2.1083792100891428,-0.13952322031001857,1.376631769587657,250,10,0.18161354221292292,0.9727148703956344,2023
model_seed44,0.1201350205882794,0.13114380586416408,0.14785777384728283,0.907246159530984,1.4699887433331458,-0.06721657119564331,1.9510636072532104,232,10,0.18161354221292292,0.9727148703956344,2024
model_seed45,0.2366235627351596,0.07574807831608266,0.18980463891625035,0.4793367860420082,0.7578619296086522,-0.22269555981212708,0.3401418437798495,733,10,0.18590626701884772,0.9727148703956344,ALL
model_seed45,-0.09076520669101107,-0.09110982437817261,0.23424685368254627,-0.29095952863211294,-0.4433516744967179,-0.22269555981212708,-0.4091227703643292,251,10,0.18590626701884772,0.9727148703956344,2022
model_seed45,0.23703446949444706,0.23914136735608915,0.17570596909631606,1.307527895003572,2.591403674540395,-0.13505768546806066,1.7706609329732879,250,10,0.18590626701884772,0.9727148703956344,2023
model_seed45,0.09946059756216408,0.10848454222300719,0.14595434991736464,0.7784886945633283,1.2495034472779953,-0.06894368285499392,1.5735240377450932,232,10,0.18590626701884772,0.9727148703956344,2024
model_seed46,0.3071944581562027,0.09647037706118478,0.18894598189946166,0.581687282836633,0.9197021843990869,-0.21151571494673582,0.456090825617747,733,10,0.17955089692019077,0.9727148703956344,ALL
model_seed46,-0.06318463294823107,-0.06342820709961672,0.23356858153967408,-0.16409411179106168,-0.25081310178997224,-0.21151571494673582,-0.2998746788889388,251,10,0.17955089692019077,0.9727148703956344,2022
model_seed46,0.23586924996204406,0.23796483004131463,0.17250123712743368,1.32319349889549,2.5848053479086057,-0.12843830072092277,1.8527559824882505,250,10,0.17955089692019077,0.9727148703956344,2023
model_seed46,0.12905127460232402,0.14092723394581408,0.14782800331359588,0.9656837873942584,1.5635399984524672,-0.06858030180229913,2.054922918713221,232,10,0.17955089692019077,0.9727148703956344,2024
naive_vol,0.0301756617619513,0.010273135725253013,0.17319286937562772,0.1454671210875471,0.2326413283252466,-0.22551828856365616,0.04555344841734756,733,10,0.12018570414074588,1.0,ALL
naive_vol,-0.14964316237116237,-0.15019215707167954,0.22315407522418154,-0.617939324898088,-1.0243568182298277,-0.22551828856365616,-0.6659865948268111,251,10,0.12018570414074588,1.0,2022
naive_vol,0.07277524721383788,0.07337830758757291,0.14661672257980182,0.5559184596941973,1.0032888670678748,-0.1580295367947332,0.4643328650825892,250,10,0.12018570414074588,1.0,2023
naive_vol,0.12927921013787946,0.14117742550523027,0.13343404146875193,1.0563848056343335,1.7330830849560035,-0.06086590949793632,2.31948272308355,232,10,0.12018570414074588,1.0,2024
oracle,2.4654349549826917,0.5330797197688952,0.32954543073193887,1.4384935659982174,4.113721087851427,-0.14863164799382064,3.5865828507200432,733,10,0.16127057421031235,0.9727148703956344,ALL
oracle,0.10324238092121862,0.10367432754799011,0.234396970406497,0.5375216447170962,0.8790313853030242,-0.14863164799382064,0.6975252508288166,251,10,0.16127057421031235,0.9727148703956344,2022
oracle,0.9311049613762707,0.9412985344210223,0.47412293347606393,1.5903107769464184,8.56571801076939,-0.08207092464646051,11.469330197946269,250,10,0.16127057421031235,0.9727148703956344,2023
oracle,0.6266006263973596,0.6962693268507394,0.20367756859858233,2.695116040702787,6.344422053890935,-0.057518538938850665,12.105128880115679,232,10,0.16127057421031235,0.9727148703956344,2024
