date,close,ticker,permno,prc,cfacpr,ret,retx,raw_close,adjusted_close,raw_price_return,adjusted_price_return,factor_changed,return_difference,_merge
2014-08-07,39.78,DISCK,92778,39.78,1.0,-0.020438,-0.020438,39.78,39.78,-0.5102191578428958,-0.020438315685791686,True,-0.48978084215710416,both
2019-11-25,35.48,DISH,81696,35.48,1.0,-0.019563,-0.019563,35.48,35.48,-0.022589531680440755,-0.019562491460055287,True,-0.0030270402203854685,both
2010-06-25,42.01,DLTR,81481,42.01,2.0,0.005184,0.005184,42.01,21.005,-0.3298771733928856,0.005184239910671629,True,-0.3350614133035572,both
2012-06-27,53.48,DLTR,81481,53.48,1.0,-0.036223,-0.036223,53.48,53.48,-0.5181113714182737,-0.03622274283654725,True,-0.48188862858172643,both
2015-11-10,54.68,DRI,81655,54.68,1.0,0.001847,0.001847,54.68,54.68,-0.10886571056062577,0.0018470312907432618,True,-0.11071274185136903,both
2017-06-09,60.63,DST,83186,60.63,1.0,-0.001482,-0.001482,60.63,60.63,-0.5007411067193676,-0.0014822134387351138,True,-0.49925889328063244,both
2011-10-04,35.8,EMN,80080,35.8,1.0,0.045866,0.045866,35.8,35.8,-0.47706690037978383,0.04586619924043234,True,-0.5229330996202162,both
2010-05-28,50.53,EW,87657,50.53,6.0,-0.026866,-0.026866,50.53,8.421666666666667,-0.5134328358208955,-0.02686567164179099,True,-0.4865671641791045,both
2015-12-14,80.53,EW,87657,80.53,3.0,0.008453,0.008453,80.53,26.843333333333334,-0.4957736212025784,0.008452757594843208,True,-0.5042263787974216,both
2020-06-01,74.27,EW,87657,74.27,1.0,-0.0085,-0.0085,74.27,74.27,-0.669499822000712,-0.008499466002136025,True,-0.661000355998576,both
2021-02-22,49.15,FIZZ,76839,49.15,1.0,-0.024802,-0.024802,49.15,49.15,-0.5124007936507937,-0.024801587301587324,True,-0.4875992063492064,both
2011-06-27,21.74,FLO,88924,21.74,1.5,0.002459,0.002459,21.74,14.493333333333332,-0.3316938210882263,0.0024592683676605276,True,-0.33415308945588684,both
2013-06-20,22.02,FLO,88924,22.02,1.0,-0.03562,-0.03562,22.02,22.02,-0.35708029197080293,-0.0356204379562044,True,-0.32145985401459853,both
2012-05-25,51.39,FMC,19166,51.39,1.149013,-0.011351,-0.011351,51.39,44.7253425331132,-0.505675259715275,-0.011350089213711834,True,-0.4943251705015632,both
2019-03-04,78.96,FMC,19166,78.96,1.0,0.003163,0.003163,78.96,78.96,-0.12693498452012386,0.003163052631579122,True,-0.13009803715170298,both
2011-10-03,8.89,FST,37234,8.89,1.0,-0.138493,-0.138493,8.89,8.89,-0.38263888888888886,-0.13849294236111098,True,-0.24414594652777788,both
2017-07-10,14.93,FTR,23887,14.93,1.0,-0.061001,-0.061001,14.93,14.93,13.084905660377357,-0.0610015943396226,True,13.14590725471698,both
2010-05-18,23.7,GMCR,79588,23.7,1.0,0.008225,0.008225,23.7,23.7,-0.6639251276233693,0.008224617129892309,True,-0.6721497447532616,both
2022-07-22,35.78,GME,89301,35.78,1.0,-0.06744,-0.06744,35.78,35.78,-0.7668599726330879,-0.06743989053235155,True,-0.6994200821007364,both
2015-01-02,17.93,GNTX,38659,17.93,1.0,-0.007473,-0.007473,17.93,17.93,-0.5037365070578468,-0.007473014115693455,True,-0.49626349294215333,both
2015-11-03,67.56,GPN,88873,67.56,1.0,-0.008148,-0.008148,67.56,67.56,-0.5040739925126623,-0.008147985025324656,True,-0.4959260074873376,both
2016-02-04,67.95,GRA,85908,67.95,1.0,0.005451,0.005451,67.95,67.95,-0.19480981158905075,0.005450650551013236,True,-0.200260462140064,both
2023-05-05,6.23,GTE,92619,6.23,1.0,0.030775,0.030775,6.23,6.23,9.307743216412971,0.03077432164129723,True,9.276968894771674,both
2012-12-03,41.38,HAE,76837,41.38,1.0,0.02135,0.02135,41.38,41.38,-0.4893249413797359,0.021350117240528155,True,-0.5106750586202641,both
2014-12-30,59.07,HAIN,80167,59.07,1.0,-0.010138,-0.010138,59.07,59.07,-0.5050691244239631,-0.010138248847926246,True,-0.4949308755760369,both
2017-09-15,82.88,HSIC,82581,82.88,1.277329,0.028607,0.028607,82.88,64.88539757572246,-0.4856965240891421,0.028606951821715798,True,-0.5143034759108579,both
2019-02-08,59.15,HSIC,82581,59.15,1.0,-0.051901,-0.051901,59.15,59.15,-0.2577487765089722,-0.05190098694942913,True,-0.20584778955954308,both
2015-06-16,66.435,IDXX,76709,66.435,1.0,0.003247,0.003247,66.435,66.435,-0.49837662337662336,0.0032467532467532756,True,-0.5016233766233766,both
2024-06-25,109.84,ILMN,88446,109.84,1.0,0.022073,0.022073,109.84,109.84,-0.0036284470246733536,0.022072957184325226,True,-0.02570140420899858,both
2020-08-14,13.13,IPI,92621,13.13,1.0,0.094167,0.094167,13.13,13.13,9.941666666666668,0.09416666666666695,True,9.847500000000002,both
2014-03-03,34.17,ITC,90786,34.17,1.0,-0.000877,-0.000877,34.17,34.17,-0.6669590643274854,-0.000877192982455921,True,-0.6660818713450295,both
2013-03-19,42.48,JAH,78977,42.48,1.5,0.00759,0.00759,42.48,28.319999999999997,-0.32827324478178377,0.007590132827324236,True,-0.335863377609108,both
2014-11-25,43.69,JAH,78977,43.69,1.0,-0.018643,-0.018643,43.69,43.69,-0.3457622042527704,-0.018643306379155566,True,-0.3271188978736148,both
2010-01-27,55.86,KMR,88989,55.86,1.372707,-0.016433,-0.016433,55.86,40.693316199305464,-0.034232365145228316,-0.01643326060639294,True,-0.017799104538835375,both
2010-04-28,58.34,KMR,88989,58.34,1.348617,-0.004491,-0.004491,58.34,43.25913139164048,-0.021961441743503674,-0.004490989518447175,True,-0.0174704522250565,both
2010-07-28,57.62,KMR,88989,57.62,1.324334,-0.00193,-0.00193,57.62,43.508661712226676,-0.019901343765946655,-0.001930246090185328,True,-0.017971097675761327,both
2010-10-27,61.06,KMR,88989,61.06,1.301117,-0.003375,-0.003375,61.06,46.92890800750432,-0.02084669660038485,-0.0033747842012472606,True,-0.01747191239913759,both
2011-01-27,64.1,KMR,88989,64.1,1.278874,0.007491,0.007491,64.1,50.122216887668365,-0.009732735980225726,0.00749062985064719,True,-0.017223365830872917,both
2011-04-27,67.53,KMR,88989,67.53,1.25737,0.0049,0.0049,67.53,53.707341514430915,-0.011997073884418286,0.004900112244715871,True,-0.016897186129134156,both
2011-07-28,60.66,KMR,88989,60.66,1.235265,-0.016635,-0.016635,60.66,49.10687180483539,-0.03392259913999052,-0.016634696587897957,True,-0.01728790255209256,both
2011-10-27,66.89,KMR,88989,66.89,1.213925,0.007786,0.007786,66.89,55.10225096278601,-0.009623926562037366,0.007786230908289227,True,-0.017410157470326593,both
2012-01-27,76.8,KMR,88989,76.8,1.196146,-0.024146,-0.024146,76.8,64.206208941049,-0.03843746087392019,-0.024145208604446022,True,-0.01429225226947417,both
2012-04-26,74.66,KMR,88989,74.66,1.177258,0.005806,0.005806,74.66,63.41855396183335,-0.01007690267833472,0.005805484582751319,True,-0.01588238726108604,both
2012-07-27,77.63,KMR,88989,77.63,1.159243,0.004926,0.004926,77.63,66.96611495605322,-0.010452517527087424,0.0049253608786907765,True,-0.0153778784057782,both
2012-10-31,74.68,KMR,88989,74.68,1.140692,-0.012433,-0.012433,74.68,65.46903107937989,-0.028236824983734365,-0.012433103506134247,True,-0.01580372147760012,both
2013-01-29,83.12,KMR,88989,83.12,1.123087,0.012751,0.012751,83.12,74.01029483913536,-0.0028790786948176272,0.012751334460688435,True,-0.015630413155506062,both
2013-04-25,88.55,KMR,88989,88.55,1.10674,-0.004124,-0.004124,88.55,80.0097583895043,-0.018619084561675825,-0.004123689234254546,True,-0.014495395327421279,both
2013-07-29,80.95,KMR,88989,80.95,1.089629,-0.011408,-0.011408,80.95,74.29134136481316,-0.026692316941204774,-0.011407969915915417,True,-0.015284347025289358,both
2013-10-29,75.72,KMR,88989,75.72,1.070772,0.000694,0.000694,75.72,70.7153343568939,-0.01662337662337665,0.000694533246337059,True,-0.01731790986971371,both
2014-01-29,74.55,KMR,88989,74.55,1.052003,-0.000131,-0.000131,74.55,70.86481692542702,-0.017657135327447615,-0.00013095600377721617,True,-0.0175261793236704,both
2014-04-28,72.71,KMR,88989,72.71,1.032692,0.009536,0.009536,72.71,70.40821464676786,-0.008995502248875686,0.009535955200268731,True,-0.018531457449144417,both
2014-07-29,78.44,KMR,88989,78.44,1.015033,-0.004061,-0.004061,78.44,77.27827568167734,-0.021090727567702472,-0.004060188814891452,True,-0.01703053875281102,both
2014-10-29,94.0,KMR,88989,94.0,1.0,-0.010648,-0.010648,94.0,94.0,-0.025300705101617527,-0.010648050601410164,True,-0.014652654500207363,both
2014-03-04,43.32,LBTYA,90227,43.32,2.097439,0.002706,0.002706,43.32,20.653759179647178,-0.4898728214790391,0.002705958168512712,True,-0.4925787796475518,both
2015-07-02,50.7,LBTYA,90227,50.7,1.999608,-0.023674,-0.023674,50.7,25.354969574036513,-0.0692124105011932,-0.02367354454933779,True,-0.04553886595185541,both
2016-06-21,31.85,LBTYA,90227,31.85,1.759664,0.037941,0.037941,31.85,18.100046372489295,-0.08660739891023794,0.03794085250360135,True,-0.1245482514138393,both
2024-11-13,11.9,LBTYA,90227,11.9,1.0,0.009643,0.009643,11.9,11.9,-0.42622950819672123,0.00964327868852477,True,-0.435872786885246,both
2014-03-04,41.83,LBTYK,90866,41.83,2.08673,0.00686,0.00686,41.83,20.045717462249545,-0.49656998435431465,0.006860031291370694,True,-0.5034300156456853,both
2015-07-02,47.6,LBTYK,90866,47.6,1.986369,-0.021429,-0.021429,47.6,23.963322021235733,-0.06849315068493156,-0.021428904865494314,True,-0.047064245819437245,both
2016-06-21,31.25,LBTYK,90866,31.25,1.740377,0.041068,0.041068,31.25,17.95587967434642,-0.08785755983654397,0.04106838157769488,True,-0.12892594141423885,both
2024-11-13,12.21,LBTYK,90866,12.21,1.0,0.007109,0.007109,12.21,12.21,-0.42132701421800944,0.007109154976303378,True,-0.4284361691943128,both
